"Sample.name"	"Sample.GMme2"	"Sex"	"Biosample.ID"	"Population.code"	"Population.name"	"Superpopulation.code"	"Superpopulation.name"	"Population.elastic.ID"	"Data.collections"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
"HG00101"	"HG00101"	"male"	"SAME125153"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00101"	-0.0479391	0.00294696	0.000284572	0.0126227	0.00851984	0.00341585	-0.000897551	-0.0122714	0.00450081	-0.00282681
"HG00102"	"HG00102"	"female"	"SAME123945"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00102"	-0.0454564	-0.00679475	-0.0115392	0.00487398	0.0156344	-0.00488408	-0.00252264	-0.00776171	0.0101401	0.0149246
"HG00103"	"HG00103"	"male"	"SAME125151"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00103"	-0.0478788	0.00385601	-0.0134587	0.000497669	-0.00031826	0.00555433	0.0112784	-0.0178546	-0.00243674	-0.00636132
"HG00105"	"HG00105"	"male"	"SAME123949"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00105"	-0.0457181	-0.00354395	-0.0169729	0.00885137	0.00508711	-0.00754365	-0.011634	-0.0333486	-0.00954361	-0.0141869
"HG00108"	"HG00108"	"male"	"SAME125161"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00108"	-0.0465944	0.00173472	-0.0189369	0.0120642	-0.00422334	0.0246625	-0.00187006	-0.00560041	0.0216725	-0.00978176
"HG00110"	"HG00110"	"female"	"SAME125339"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00110"	-0.0456592	-0.00254591	0.00398118	0.0193636	-0.00538197	0.0159775	0.0220363	-0.00588528	0.0162964	0.00910543
"HG00111"	"HG00111"	"female"	"SAME125340"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00111"	-0.0466599	-0.00201943	-0.017993	0.00739976	0.0174946	0.00310087	-0.0177621	0.00104613	0.0121002	0.00262393
"HG00116"	"HG00116"	"male"	"SAME125345"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00116"	-0.0471357	-0.00740583	-0.0252949	0.0135028	-0.00229318	0.0072752	0.0125391	-0.0225119	0.00821423	-0.00643037
"HG00117"	"HG00117"	"male"	"SAME125346"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00117"	-0.0476664	0.00558602	-0.0164556	0.00902406	-0.00687766	0.0230307	-0.0130661	-0.0020527	0.00333836	-0.0025627
"HG00121"	"HG00121"	"female"	"SAME122873"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00121"	-0.0478123	0.000177831	-0.00603137	0.00439651	0.00133948	0.000770195	-0.00597974	0.00762838	-0.000505882	-0.00419322
"HG00129"	"HG00129"	"male"	"SAME122867"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00129"	-0.0484641	-0.00156229	-0.0184479	0.0115407	0.00187771	0.00750462	0.0128367	-0.0179004	-0.00473222	-0.00232218
"HG00131"	"HG00131"	"male"	"SAME123064"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00131"	-0.0467995	-0.0078274	-0.0164856	0.00258216	-0.00808264	0.00679812	0.0183035	-0.0172253	-0.00571486	-0.00410395
"HG00133"	"HG00133"	"female"	"SAME123062"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00133"	-0.0456227	-0.00480282	-0.0265815	0.00587993	-0.0153924	0.0047688	0.0082465	-1.48663e-05	-0.0134938	-0.00343891
