"keep"	"Quant_Varia"	"Pst_Values"
79	"V1"	0.823378264785071
85	"V2"	0.912794706399759
87	"V3"	0.83723549524904
91	"V4"	0.868539870309605
100	"V5"	0.886442427644652
107	"V6"	0.841046734052629
110	"V7"	0.819196795772557
112	"V8"	0.842601220763437
125	"V9"	0.84204313908631
133	"V10"	0.780976753426766
139	"V11"	0.783291111575187
167	"V12"	0.84592302991631
168	"V13"	0.801469289688061
187	"V14"	0.779634676423619
195	"V15"	0.867651007089312
213	"V16"	0.895847900649371
226	"V17"	0.843869121470744
246	"V18"	0.792127040001358
285	"V19"	0.878339957246897
290	"V20"	0.829586226255058
304	"V21"	0.877450226203359
328	"V22"	0.806685310160474
363	"V23"	0.783013456125696
374	"V24"	0.782584803275613
393	"V25"	0.814190799677099
462	"V26"	0.875706307098503
464	"V27"	0.9576686543558
552	"V28"	0.833815812170678
636	"V29"	0.853543661955501
670	"V30"	0.793578831216055
676	"V31"	0.872650326416443
699	"V32"	0.92116558572632
712	"V33"	0.782605944351664
733	"V34"	0.786270017772686
743	"V35"	0.833584129693966
796	"V36"	0.823051065064049
804	"V37"	0.879387321092526
814	"V38"	0.924237595040739
817	"V39"	0.84723416034149
821	"V40"	0.820578037001307
849	"V41"	0.809570116838191
861	"V42"	0.858533997044231
870	"V43"	0.901510109998781
904	"V44"	0.803348961929774
913	"V45"	0.849713762126536
914	"V46"	0.788083617186004
918	"V47"	0.895794852457273
925	"V48"	0.83391983336572
940	"V49"	0.927678180868335
946	"V50"	0.847224053752227
950	"V51"	0.826874605850841
962	"V52"	0.923926158852287
966	"V53"	0.828641428383203
991	"V54"	0.791881224439782
1043	"V55"	0.789333773416202
1044	"V56"	0.801081183267431
1083	"V57"	0.836481547759629
1089	"V58"	0.783537241588612
1106	"V59"	0.80109861965185
1146	"V60"	0.841144918701586
1198	"V61"	0.807687667565504
1203	"V62"	0.894114679766482
1205	"V63"	0.797580163431653
1231	"V64"	0.931076662798405
1245	"V65"	0.824433340688403
1264	"V66"	0.917557469728499
1270	"V67"	0.834480846238316
1328	"V68"	0.820806019729675
1334	"V69"	0.809166691147556
1344	"V70"	0.837974540397256
1353	"V71"	0.81941389827816
1358	"V72"	0.831987538553204
1403	"V73"	0.844221027951086
1411	"V74"	0.806629445836359
