"keep"	"Quant_Varia"	"Pst_Values"
35	"V1"	0.869916458665775
72	"V2"	0.799330542114704
85	"V3"	0.923824028204903
107	"V4"	0.841323781602473
110	"V5"	0.896319674675638
125	"V6"	0.840264721396135
136	"V7"	0.838562052723912
155	"V8"	0.817145847450325
168	"V9"	0.820678087037565
171	"V10"	0.907071963576807
212	"V11"	0.814567154081612
238	"V12"	0.781517141687329
248	"V13"	0.861874914487136
281	"V14"	0.79020969690316
301	"V15"	0.78368585312232
313	"V16"	0.815556687592703
314	"V17"	0.785843159346522
384	"V18"	0.832243050085219
397	"V19"	0.794355981547495
444	"V20"	0.78722270568183
462	"V21"	0.82050636823684
464	"V22"	0.94067849898425
465	"V23"	0.856759050607898
497	"V24"	0.84666566861799
500	"V25"	0.819126155756698
532	"V26"	0.840039901046486
534	"V27"	0.808091197328563
592	"V28"	0.822589834355259
664	"V29"	0.783776085099546
674	"V30"	0.835534686739287
676	"V31"	0.806530788546306
699	"V32"	0.894501834120577
719	"V33"	0.795013281613715
746	"V34"	0.820569367324554
788	"V35"	0.783455783825523
814	"V36"	0.852271655223453
823	"V37"	0.809262228906049
832	"V38"	0.77968271503723
841	"V39"	0.841710290846576
872	"V40"	0.795763222614736
880	"V41"	0.869850310426167
893	"V42"	0.808460926384179
897	"V43"	0.883548795362201
918	"V44"	0.92173031124488
929	"V45"	0.836361044791402
936	"V46"	0.869440646347521
940	"V47"	0.913789137599271
962	"V48"	0.935195368092361
976	"V49"	0.792204688338638
1017	"V50"	0.813754787466201
1076	"V51"	0.815428378072193
1083	"V52"	0.800385757443458
1111	"V53"	0.866170940534804
1112	"V54"	0.823235867567675
1128	"V55"	0.876580342146636
1130	"V56"	0.828947071583082
1150	"V57"	0.830845539980565
1203	"V58"	0.939667084589755
1219	"V59"	0.882422150751447
1231	"V60"	0.905497482984907
1233	"V61"	0.879569814195938
1276	"V62"	0.897163086063571
1344	"V63"	0.878893593230303
1367	"V64"	0.822226190191948
1376	"V65"	0.807774993980669
1393	"V66"	0.797358522944726
1422	"V67"	0.873034847452914
1445	"V68"	0.793245719257393
1501	"V69"	0.854634861705003
1510	"V70"	0.82623403010176
1511	"V71"	0.808223092993107
1515	"V72"	0.888577708872996
1518	"V73"	0.824695619905367
1539	"V74"	0.862847655913177
1561	"V75"	0.781761249132864
1628	"V76"	0.910709148276074
1631	"V77"	0.794221134066454
1660	"V78"	0.822661161178162
1663	"V79"	0.829987515686024
1664	"V80"	0.843897525978144
1666	"V81"	0.894542655973762
1670	"V82"	0.802223204222763
1733	"V83"	0.799213465518145
1739	"V84"	0.882436565708133
1756	"V85"	0.869353869524007
1763	"V86"	0.82738509293652
1769	"V87"	0.822803129016796
1826	"V88"	0.885584843583405
1835	"V89"	0.801421367535656
1845	"V90"	0.833468159613439
1853	"V91"	0.913033150539252
1856	"V92"	0.85689230760607
1888	"V93"	0.834407603821383
1924	"V94"	0.807753073686024
1934	"V95"	0.826215060042349
1964	"V96"	0.83941952604058
1968	"V97"	0.821626502058226
1997	"V98"	0.783175098190173
2040	"V99"	0.791814270987831
2049	"V100"	0.809856006745816
2061	"V101"	0.944272943083934
2093	"V102"	0.895357233333512
2098	"V103"	0.820018539942845
2137	"V104"	0.896585153128091
2143	"V105"	0.829533471166608
2191	"V106"	0.800373081773756
2202	"V107"	0.827800187391472
2220	"V108"	0.86312998702778
2223	"V109"	0.797806770642173
2271	"V110"	0.83153069881812
2275	"V111"	0.827144159687301
2287	"V112"	0.844957163095857
2297	"V113"	0.799628390222833
2346	"V114"	0.956739592155422
2406	"V115"	0.830383200381761
2409	"V116"	0.797983966585875
2411	"V117"	0.903497831471224
2440	"V118"	0.780391872267774
2476	"V119"	0.856769943715606
2483	"V120"	0.833418287195218
2506	"V121"	0.818314249738629
2507	"V122"	0.851713038273143
2526	"V123"	0.911016716564505
2535	"V124"	0.856211339343589
2540	"V125"	0.850896720485916
2542	"V126"	0.821395860453125
2564	"V127"	0.855695506732345
2567	"V128"	0.803028960334356
2587	"V129"	0.843896629134539
2650	"V130"	0.810486689198144
2651	"V131"	0.800015796524452
2653	"V132"	0.842107328576602
2660	"V133"	0.836995139413014
2692	"V134"	0.804083454835977
2702	"V135"	0.863485750432672
2726	"V136"	0.894145510556949
2731	"V137"	0.782817426077011
2738	"V138"	0.809556762691251
2739	"V139"	0.832173726284556
2768	"V140"	0.82695140627967
2803	"V141"	0.796772176257307
2812	"V142"	0.796374264085765
2822	"V143"	0.838487549340711
2849	"V144"	0.824450144860062
2856	"V145"	0.85969508624118
2868	"V146"	0.790265275099931
2874	"V147"	0.873025494551649
2904	"V148"	0.845335954381348
2914	"V149"	0.782873073392916
2951	"V150"	0.802211338923827
2956	"V151"	0.821989576404386
2960	"V152"	0.784621422415831
2999	"V153"	0.822495507436788
3008	"V154"	0.779161943324343
3022	"V155"	0.789871903435854
3033	"V156"	0.832073151356605
3064	"V157"	0.921658842489152
3083	"V158"	0.865324119033177
3085	"V159"	0.800493195636974
3107	"V160"	0.782436722673155
3111	"V161"	0.974009524225096
3136	"V162"	0.797175291058813
3142	"V163"	0.781878055116203
3148	"V164"	0.814187360791638
3160	"V165"	0.80723750060706
3180	"V166"	0.83406003600085
3201	"V167"	0.827052726582755
3239	"V168"	0.825998714045612
3251	"V169"	0.810853857042942
3258	"V170"	0.878056460918731
3266	"V171"	0.788284179413967
3280	"V172"	0.901333331981496
3285	"V173"	0.83344885835103
3296	"V174"	0.808647431473351
3300	"V175"	0.818595065751667
3326	"V176"	0.819175418445347
3329	"V177"	0.838018746773245
3366	"V178"	0.851000658590567
3388	"V179"	0.843215913489068
3399	"V180"	0.798092678432336
3419	"V181"	0.902344070367802
3435	"V182"	0.850765900938421
3463	"V183"	0.810035593952194
3469	"V184"	0.810974838075446
3480	"V185"	0.804254187333471
3483	"V186"	0.823443879384677
3526	"V187"	0.918662116811504
3543	"V188"	0.836859536462876
3554	"V189"	0.932105394071785
3574	"V190"	0.836674780099435
3575	"V191"	0.883186537272759
3576	"V192"	0.802874109800736
3588	"V193"	0.875266047483936
3589	"V194"	0.793545666872681
3599	"V195"	0.887136333207662
3601	"V196"	0.857897362048052
3611	"V197"	0.82393056150639
3613	"V198"	0.860060950144029
3621	"V199"	0.890863712726653
3637	"V200"	0.881332134331062
3652	"V201"	0.813382936004441
3660	"V202"	0.872413131495322
3677	"V203"	0.858363193791886
3699	"V204"	0.893418533139562
3730	"V205"	0.794349987830621
3737	"V206"	0.874160040050951
3753	"V207"	0.876237674613226
3755	"V208"	0.875960303797887
3823	"V209"	0.823613747971642
3854	"V210"	0.85877744304702
3869	"V211"	0.781733880618312
3879	"V212"	0.913778528339321
3905	"V213"	0.80018734110691
3908	"V214"	0.804049081241551
3935	"V215"	0.87253875909705
3954	"V216"	0.919345389825124
3962	"V217"	0.795644298055337
3985	"V218"	0.792018303422249
3989	"V219"	0.836499146986571
4004	"V220"	0.879329544060073
4026	"V221"	0.822531149979745
4046	"V222"	0.905902288361307
4054	"V223"	0.87920459494657
4080	"V224"	0.906223352442545
4097	"V225"	0.849831340198522
4098	"V226"	0.79585450702217
4105	"V227"	0.813890614254918
4116	"V228"	0.920967599419965
4117	"V229"	0.821173136128169
4129	"V230"	0.803737555852907
4151	"V231"	0.839335025391096
4154	"V232"	0.861195645264773
4184	"V233"	0.893258353855103
4212	"V234"	0.898096238206557
4225	"V235"	0.846962796166776
4247	"V236"	0.884900524301799
4260	"V237"	0.783702964348159
4276	"V238"	0.9206532706682
4285	"V239"	0.805289787968188
4305	"V240"	0.833729363344093
4330	"V241"	0.849495421362104
4345	"V242"	0.790413331091208
4431	"V243"	0.785684281051097
4434	"V244"	0.83808054352997
4467	"V245"	0.786902523414384
4486	"V246"	0.824258852425741
4502	"V247"	0.842868778585116
4506	"V248"	0.852090681814875
4511	"V249"	0.878478263763185
4513	"V250"	0.906106628253847
4523	"V251"	0.921384797920111
4534	"V252"	0.79405581142854
4549	"V253"	0.798828375780844
4582	"V254"	0.877953122568806
4620	"V255"	0.793571109764523
4624	"V256"	0.860182066137274
4628	"V257"	0.841926553053713
4660	"V258"	0.818728937007996
4710	"V259"	0.975111492280386
4714	"V260"	0.920870616692174
4731	"V261"	0.867216149985298
4734	"V262"	0.842210258393033
4749	"V263"	0.918849344443109
4751	"V264"	0.937231473688875
4781	"V265"	0.801553257508854
4787	"V266"	0.902486949133076
4788	"V267"	0.884985633433406
4800	"V268"	0.816916951119188
4801	"V269"	0.85417692890882
4819	"V270"	0.833506776277367
4821	"V271"	0.840146324862201
4871	"V272"	0.784250920155166
4874	"V273"	0.839919444886108
4883	"V274"	0.820887744387164
4888	"V275"	0.815359263780353
4893	"V276"	0.833435881422307
4896	"V277"	0.878465643621856
4900	"V278"	0.83328055255009
4913	"V279"	0.895503395174383
4915	"V280"	0.779728671358522
4916	"V281"	0.799556187733321
4927	"V282"	0.867701655781897
4931	"V283"	0.841897393185983
4932	"V284"	0.834633177762624
4938	"V285"	0.803166680396419
4939	"V286"	0.869970611974449
4944	"V287"	0.899516968934782
4973	"V288"	0.841271503698357
4982	"V289"	0.822850113704095
5007	"V290"	0.851283380553482
5010	"V291"	0.789645167202382
5020	"V292"	0.890466929064807
5049	"V293"	0.797829422280897
5070	"V294"	0.801374926758966
5076	"V295"	0.790498603556311
5102	"V296"	0.790267297931032
5112	"V297"	0.783830099905801
5140	"V298"	0.872568439234777
5168	"V299"	0.89058312740044
5178	"V300"	0.881720172134255
5180	"V301"	0.935599351502836
5213	"V302"	0.792807664764655
5214	"V303"	0.83646433447815
5257	"V304"	0.883396554616436
5276	"V305"	0.783902538654108
5293	"V306"	0.906095320537001
5308	"V307"	0.789240154263905
5344	"V308"	0.87698881208406
5350	"V309"	0.821129662296109
5358	"V310"	0.819580782142553
5365	"V311"	0.843952441566543
5383	"V312"	0.879847155449546
5384	"V313"	0.805994911198073
5432	"V314"	0.801222763299956
5438	"V315"	0.959366445146714
5460	"V316"	0.796138827627999
5466	"V317"	0.835588065989603
5483	"V318"	0.805545138225028
5537	"V319"	0.859895016223673
5588	"V320"	0.949021605306944
5598	"V321"	0.916874729602952
5601	"V322"	0.900405891053355
5616	"V323"	0.826597382656482
5618	"V324"	0.822702787701429
5621	"V325"	0.857602825963718
5626	"V326"	0.824256534837409
5666	"V327"	0.795851834292663
5689	"V328"	0.853638578347086
5694	"V329"	0.844518785486041
5722	"V330"	0.813048304191692
5724	"V331"	0.821168030588797
5728	"V332"	0.853172585381789
5743	"V333"	0.823290200306125
5769	"V334"	0.797430665376943
5780	"V335"	0.814269491180631
5811	"V336"	0.838980814108248
5840	"V337"	0.915367017184422
5851	"V338"	0.818509430706779
5873	"V339"	0.815524897115423
5887	"V340"	0.789752494077542
5918	"V341"	0.826540715238075
5919	"V342"	0.881719373254387
5933	"V343"	0.787332386478496
5939	"V344"	0.848754516308114
5960	"V345"	0.921003556306472
5985	"V346"	0.922571363633294
6015	"V347"	0.824547900596327
6035	"V348"	0.86728900565912
6046	"V349"	0.792846630363945
6066	"V350"	0.801781162240009
6136	"V351"	0.840052104787272
6137	"V352"	0.875816261668307
6139	"V353"	0.898202049052195
6151	"V354"	0.864086522473637
6188	"V355"	0.858871484430896
6198	"V356"	0.856483613840492
6228	"V357"	0.841663977233836
6249	"V358"	0.816999337156501
6250	"V359"	0.838754223275985
6274	"V360"	0.806038346903437
6276	"V361"	0.861885616457506
6278	"V362"	0.910126806692154
6289	"V363"	0.839332610109252
6292	"V364"	0.830856230839186
6310	"V365"	0.944433437910803
6315	"V366"	0.786707119667243
6325	"V367"	0.884084344409878
6332	"V368"	0.827264295115352
6363	"V369"	0.79207314317544
6367	"V370"	0.810010301994709
6372	"V371"	0.896915734152821
6386	"V372"	0.901187585160262
6392	"V373"	0.93054357980345
6465	"V374"	0.851424828724287
6485	"V375"	0.809133607161106
6493	"V376"	0.803998263558484
6498	"V377"	0.794096310073703
6501	"V378"	0.924387722422042
6511	"V379"	0.845742449183564
6518	"V380"	0.804805356499062
6526	"V381"	0.844294837064572
6542	"V382"	0.86121491287829
6543	"V383"	0.830693052413944
6556	"V384"	0.837497867921833
6580	"V385"	0.828805965166856
6583	"V386"	0.835015518439448
6620	"V387"	0.817935485759491
6631	"V388"	0.848530307286529
6632	"V389"	0.918867419309151
6635	"V390"	0.849318092913464
6643	"V391"	0.915665180972719
6644	"V392"	0.816531211883755
6676	"V393"	0.783983057807736
6711	"V394"	0.786691968957655
6723	"V395"	0.847676803846821
6738	"V396"	0.826640606074134
6855	"V397"	0.805458460484424
6856	"V398"	0.927385009833289
6859	"V399"	0.784378862072193
6871	"V400"	0.859252216476969
6883	"V401"	0.814842924186821
6886	"V402"	0.872780581092861
6889	"V403"	0.822182164486589
6891	"V404"	0.892165397751922
6904	"V405"	0.84795606126895
6913	"V406"	0.808102441020727
6914	"V407"	0.952742576921088
6930	"V408"	0.790920005961561
6931	"V409"	0.849790344388028
6947	"V410"	0.806091292064086
6952	"V411"	0.901469694297087
6964	"V412"	0.804080485431482
6985	"V413"	0.817033253890623
7004	"V414"	0.797971937765235
7024	"V415"	0.791451569168725
7025	"V416"	0.837069266291367
7031	"V417"	0.842880588178886
7035	"V418"	0.819138000971401
7041	"V419"	0.906658574977629
7047	"V420"	0.786598363173406
7057	"V421"	0.857551087567471
7094	"V422"	0.86638661092989
7096	"V423"	0.837413166099967
7132	"V424"	0.781346449980755
7148	"V425"	0.940530694911023
7149	"V426"	0.928532754859444
7165	"V427"	0.813653428444804
7167	"V428"	0.796195684213662
7224	"V429"	0.872553092291425
7257	"V430"	0.793662425820777
7261	"V431"	0.794479199691785
7270	"V432"	0.866857427387877
7272	"V433"	0.847056168360633
7286	"V434"	0.833491951417142
7329	"V435"	0.798005953487692
7347	"V436"	0.946085743172509
7350	"V437"	0.847089777226512
7372	"V438"	0.79155769617627
7377	"V439"	0.874554889004335
7383	"V440"	0.864562912958388
7405	"V441"	0.923452998914279
7407	"V442"	0.798456231536138
7419	"V443"	0.850484587325902
7444	"V444"	0.786910577807773
7496	"V445"	0.887633390379186
7520	"V446"	0.782711619701572
7523	"V447"	0.867134848668543
7538	"V448"	0.896580201516934
7589	"V449"	0.781749047319581
7599	"V450"	0.788658369512857
7606	"V451"	0.795281041702125
7617	"V452"	0.897753774995506
7624	"V453"	0.823358871759141
7665	"V454"	0.863750451905355
7682	"V455"	0.782413199487207
7696	"V456"	0.840992697809545
7703	"V457"	0.892846760424604
7726	"V458"	0.79317216187321
7768	"V459"	0.843458420530098
7781	"V460"	0.848863545595426
7784	"V461"	0.789282564450746
7830	"V462"	0.785670904347824
7836	"V463"	0.860483068933886
7859	"V464"	0.876413613675935
7874	"V465"	0.829325213264266
7879	"V466"	0.940869264513013
7885	"V467"	0.808596164696061
7897	"V468"	0.857738500628008
7914	"V469"	0.822052236819446
7922	"V470"	0.78717148086771
7950	"V471"	0.898833054067619
7952	"V472"	0.790374160504966
7979	"V473"	0.91204967911054
7984	"V474"	0.882090091693619
8010	"V475"	0.825073980978353
8040	"V476"	0.84721495409735
8058	"V477"	0.899582445911722
8100	"V478"	0.820090022705884
8108	"V479"	0.818550349955512
8131	"V480"	0.810506313222542
8142	"V481"	0.815857965072422
8144	"V482"	0.87470714750402
8184	"V483"	0.811103324136075
8210	"V484"	0.91699101934412
8212	"V485"	0.786035387868127
8227	"V486"	0.87294291393867
8261	"V487"	0.81873614180332
8266	"V488"	0.809839359034956
8272	"V489"	0.856293383219183
8298	"V490"	0.853841087818497
8333	"V491"	0.801621026075438
8338	"V492"	0.892961624107831
8350	"V493"	0.780808460503127
8353	"V494"	0.8215728261517
8384	"V495"	0.885684557003402
8389	"V496"	0.829616908992241
8401	"V497"	0.898927428586565
8426	"V498"	0.828721277650118
8453	"V499"	0.840550906785441
8457	"V500"	0.802205684722569
8478	"V501"	0.867900793723819
8523	"V502"	0.925037130124499
8525	"V503"	0.808657109007755
8534	"V504"	0.872793578579063
8546	"V505"	0.803995623247164
8548	"V506"	0.8837119931471
8563	"V507"	0.868510691772722
8626	"V508"	0.856333886534698
8632	"V509"	0.788128657752742
8642	"V510"	0.836450393376559
8672	"V511"	0.89734786806866
8676	"V512"	0.782495823995869
8678	"V513"	0.850187238411072
8679	"V514"	0.937192794932697
8683	"V515"	0.833007270566615
8720	"V516"	0.876614430974651
8724	"V517"	0.782917728308287
8744	"V518"	0.869330340881282
8749	"V519"	0.832107726460792
8753	"V520"	0.938960831365869
8764	"V521"	0.829193702352218
8776	"V522"	0.871850301400448
8781	"V523"	0.943633935046502
8864	"V524"	0.815247752154443
8865	"V525"	0.81246731763946
8870	"V526"	0.95131922222469
8915	"V527"	0.830138368901516
8921	"V528"	0.890167661494436
8929	"V529"	0.952730556421347
8931	"V530"	0.932757316229635
8933	"V531"	0.800770237450024
8948	"V532"	0.915904751254049
8962	"V533"	0.836589208363458
8987	"V534"	0.928389047780098
9002	"V535"	0.801660887344581
9015	"V536"	0.810772710007112
9020	"V537"	0.796616275205559
9037	"V538"	0.788243087858992
9059	"V539"	0.87401625157826
9068	"V540"	0.968594973448129
9073	"V541"	0.896125551670803
9087	"V542"	0.863550550308133
9093	"V543"	0.946223351499202
9096	"V544"	0.780186980269566
9125	"V545"	0.814355674297208
9129	"V546"	0.817944357816486
9144	"V547"	0.908233189463258
9161	"V548"	0.80349215979371
9170	"V549"	0.848264606678284
9182	"V550"	0.806316023227817
9210	"V551"	0.782412726114956
9250	"V552"	0.898823064499092
9271	"V553"	0.791672086174308
9272	"V554"	0.824454536103631
9279	"V555"	0.966412035699104
9281	"V556"	0.896915051907182
9300	"V557"	0.805265808762934
9340	"V558"	0.830128052719438
9349	"V559"	0.851950881547833
9354	"V560"	0.902088419322205
9393	"V561"	0.801195190963683
9406	"V562"	0.838057343469797
9414	"V563"	0.8747587149983
9423	"V564"	0.826588862122975
9441	"V565"	0.832610563181179
9445	"V566"	0.855019766347373
9448	"V567"	0.919004346058583
9459	"V568"	0.785553038078111
9466	"V569"	0.91484771219326
9467	"V570"	0.780552618654996
9481	"V571"	0.95641171583257
9517	"V572"	0.783383138132405
9537	"V573"	0.839093158715766
9552	"V574"	0.802958454103902
9553	"V575"	0.922389419427894
9623	"V576"	0.798971777094097
9644	"V577"	0.860918877884824
9645	"V578"	0.785304997780599
9658	"V579"	0.823325162320466
9698	"V580"	0.882316313253094
9706	"V581"	0.907695495444303
9714	"V582"	0.807603093128785
9716	"V583"	0.803567023206685
9746	"V584"	0.807548811686295
9748	"V585"	0.82010679581401
