"keep"	"Quant_Varia"	"Pst_Values"
35	"V1"	0.856481853270422
48	"V2"	0.857226088496098
69	"V3"	0.784198746813288
110	"V4"	0.830408799709729
112	"V5"	0.850643343584326
119	"V6"	0.777412513898143
131	"V7"	0.829044406829141
133	"V8"	0.885758011372352
139	"V9"	0.823044699148998
168	"V10"	0.777080639020873
177	"V11"	0.829827541563326
187	"V12"	0.779712487446893
213	"V13"	0.840479489415961
226	"V14"	0.832761120258589
233	"V15"	0.794500305370273
290	"V16"	0.802054431056025
292	"V17"	0.83090221917918
304	"V18"	0.838687307827569
317	"V19"	0.7820331288519
377	"V20"	0.782757841372068
384	"V21"	0.783542477057429
456	"V22"	0.811673703579346
462	"V23"	0.821962268958802
464	"V24"	0.919904165027861
469	"V25"	0.820090897503811
475	"V26"	0.782015944047431
497	"V27"	0.820476882888886
499	"V28"	0.805647368687381
521	"V29"	0.848753249282757
532	"V30"	0.777546542316436
568	"V31"	0.886535966272728
592	"V32"	0.786686506994405
602	"V33"	0.78253362651982
603	"V34"	0.838674452743477
605	"V35"	0.809307149692153
609	"V36"	0.850447362268693
637	"V37"	0.80983653617326
647	"V38"	0.84795596437905
668	"V39"	0.812094277067717
673	"V40"	0.849344861317167
676	"V41"	0.824685269976734
699	"V42"	0.847134476231882
721	"V43"	0.80720098213242
724	"V44"	0.812528406073777
730	"V45"	0.815098446694784
733	"V46"	0.822627610101814
773	"V47"	0.807181295098602
776	"V48"	0.818919400737042
796	"V49"	0.78672372330769
804	"V50"	0.885065270498984
814	"V51"	0.89863722014066
817	"V52"	0.794965483695804
824	"V53"	0.846283575752866
841	"V54"	0.782796179217033
861	"V55"	0.878895318658954
871	"V56"	0.791790067519691
875	"V57"	0.793009035385732
880	"V58"	0.900081001281996
893	"V59"	0.782727612644859
897	"V60"	0.885374139257317
904	"V61"	0.776769777831962
918	"V62"	0.934143214565794
935	"V63"	0.849176085780945
936	"V64"	0.874796534341462
940	"V65"	0.804871139628176
962	"V66"	0.89714507031573
981	"V67"	0.816893395509989
994	"V68"	0.82982539436271
1017	"V69"	0.865538535576735
1029	"V70"	0.784407739176045
1037	"V71"	0.814952731179644
1045	"V72"	0.815280219077689
1072	"V73"	0.813692001409449
1083	"V74"	0.885496505086612
1106	"V75"	0.837595774486462
1116	"V76"	0.857468884493023
1133	"V77"	0.799877406537855
1139	"V78"	0.866062914121963
1140	"V79"	0.812921752623579
1198	"V80"	0.784992587966645
1203	"V81"	0.934800914364621
1205	"V82"	0.811052825874424
1223	"V83"	0.840445329125778
1228	"V84"	0.80573349046806
1231	"V85"	0.933952577013193
1254	"V86"	0.830230594305342
1265	"V87"	0.789868271399792
1266	"V88"	0.839114931228561
1294	"V89"	0.817494912805256
1305	"V90"	0.804534010841492
1308	"V91"	0.787655168656932
1311	"V92"	0.826257121748591
1321	"V93"	0.806099513896071
1332	"V94"	0.828149808476315
1334	"V95"	0.824675941929779
1344	"V96"	0.811410012652119
1353	"V97"	0.839624009876339
1393	"V98"	0.826443167414502
1411	"V99"	0.849141780857777
1422	"V100"	0.830555383438066
1424	"V101"	0.811661804385915
1454	"V102"	0.90049944342005
1467	"V103"	0.802245449180406
1484	"V104"	0.891127400949755
1494	"V105"	0.893334031769844
1501	"V106"	0.786366065760732
1515	"V107"	0.8661679254501
1518	"V108"	0.83340077164714
1529	"V109"	0.820831088358615
1539	"V110"	0.81249041264446
1561	"V111"	0.805750539169882
1570	"V112"	0.814980731475923
1582	"V113"	0.786084395334988
1614	"V114"	0.875619181284146
1628	"V115"	0.836292671965879
1659	"V116"	0.798216464539169
1663	"V117"	0.799019801260608
1666	"V118"	0.861197080123518
1687	"V119"	0.841258867286899
1694	"V120"	0.840129166060809
1711	"V121"	0.796126551333562
1717	"V122"	0.823898111718248
1739	"V123"	0.860621487224017
1756	"V124"	0.860695137524574
1766	"V125"	0.887594455273447
1835	"V126"	0.822232415233809
1845	"V127"	0.816269766142122
1850	"V128"	0.864606437843351
1853	"V129"	0.899352494147246
1857	"V130"	0.864829844995653
1888	"V131"	0.843546522514474
1901	"V132"	0.777414101441962
1907	"V133"	0.829780396124881
1908	"V134"	0.808460527361678
1931	"V135"	0.798831637035842
1965	"V136"	0.850859936971896
1974	"V137"	0.792549791396035
2025	"V138"	0.844343188738181
2040	"V139"	0.856535925698571
2053	"V140"	0.803024777133545
2061	"V141"	0.936359402217495
2064	"V142"	0.850878556523437
2090	"V143"	0.805577164368836
2093	"V144"	0.807215207476073
2100	"V145"	0.780436137516335
2102	"V146"	0.878174188193337
2121	"V147"	0.883687539554099
2161	"V148"	0.82263808992967
2183	"V149"	0.803143781282981
2202	"V150"	0.91490734206287
2208	"V151"	0.810111228688908
2226	"V152"	0.829974845902953
2238	"V153"	0.81396000590698
2272	"V154"	0.796534204586049
2287	"V155"	0.865921858093799
2288	"V156"	0.798505749091198
2340	"V157"	0.80751818194068
2342	"V158"	0.830011462264177
2346	"V159"	0.953378982920868
2398	"V160"	0.868549835615491
2425	"V161"	0.803856791721487
2432	"V162"	0.86787218694179
2455	"V163"	0.827769678515895
2459	"V164"	0.839641635038561
2469	"V165"	0.780638792749105
2479	"V166"	0.785151436584891
2483	"V167"	0.896033498595949
2535	"V168"	0.903075541405441
2553	"V169"	0.812870914908441
2564	"V170"	0.9536419010608
2566	"V171"	0.840125625346716
2574	"V172"	0.824215671691425
2581	"V173"	0.848828408196481
2587	"V174"	0.915308610258969
2591	"V175"	0.790290359583674
2609	"V176"	0.78891669322836
2659	"V177"	0.79702538276201
2682	"V178"	0.800445135238732
2704	"V179"	0.85633237449754
2739	"V180"	0.853785814562744
2751	"V181"	0.833254684887148
2759	"V182"	0.895423464440741
2764	"V183"	0.798045684855578
2775	"V184"	0.80405296072773
2784	"V185"	0.84525757079745
2810	"V186"	0.796170357428866
2822	"V187"	0.821990219652066
2824	"V188"	0.860262897933474
2832	"V189"	0.79567379517452
2839	"V190"	0.842274355473509
2864	"V191"	0.815368204441337
2870	"V192"	0.822021354006488
2890	"V193"	0.805505855191438
2904	"V194"	0.784240898104785
2912	"V195"	0.833379392558686
2928	"V196"	0.826325683599883
2934	"V197"	0.848755293427028
2945	"V198"	0.777140742274752
2962	"V199"	0.797501070990496
2979	"V200"	0.781212723400516
3022	"V201"	0.914326220755856
3064	"V202"	0.830531580133022
3084	"V203"	0.891526731568338
3085	"V204"	0.940415115695819
3092	"V205"	0.826038453615353
3095	"V206"	0.825769477610441
3106	"V207"	0.838419952322654
3111	"V208"	0.954490283654548
3114	"V209"	0.830918446603372
3142	"V210"	0.88114183368241
3181	"V211"	0.787903980252756
3211	"V212"	0.839991806011857
3251	"V213"	0.834101673919237
3258	"V214"	0.901513584645836
3275	"V215"	0.827800550383889
3292	"V216"	0.810012604778605
3309	"V217"	0.783308114035339
3329	"V218"	0.792292193155487
3364	"V219"	0.799322933155941
3388	"V220"	0.80888453202377
3402	"V221"	0.865911535720217
3429	"V222"	0.812183287600243
3431	"V223"	0.81336460626245
3433	"V224"	0.796291950774108
3463	"V225"	0.795571298706044
3469	"V226"	0.88526951119992
3472	"V227"	0.806757687816945
3494	"V228"	0.821143704081112
3526	"V229"	0.908881978527211
3529	"V230"	0.790747540262257
3542	"V231"	0.804705990900921
3554	"V232"	0.923932062668497
3555	"V233"	0.814552846283201
3569	"V234"	0.791116189371097
3574	"V235"	0.909801683812604
3575	"V236"	0.817225789792501
3576	"V237"	0.846133350313051
3584	"V238"	0.813801886192467
3599	"V239"	0.866747409023266
3609	"V240"	0.783086069298782
3613	"V241"	0.833347681070666
3624	"V242"	0.812133729242262
3658	"V243"	0.810557998725784
3666	"V244"	0.805016645724699
3717	"V245"	0.800038251497129
3722	"V246"	0.835293981070674
3735	"V247"	0.78099890959613
3753	"V248"	0.91488502748202
3757	"V249"	0.884148328677225
3765	"V250"	0.839714496335958
3769	"V251"	0.778059577894607
3823	"V252"	0.873322871137231
3845	"V253"	0.828437969298
3849	"V254"	0.878347479338593
3850	"V255"	0.796743543521574
3854	"V256"	0.934361362566566
3860	"V257"	0.853237931986962
3863	"V258"	0.826024431856271
3879	"V259"	0.862313479703884
3905	"V260"	0.896957441574071
3917	"V261"	0.861286548866131
3951	"V262"	0.866240019191116
3954	"V263"	0.87501780401521
4026	"V264"	0.783331742929122
4027	"V265"	0.7991227015346
4046	"V266"	0.926752764030172
4066	"V267"	0.826121161957919
4080	"V268"	0.919916730223207
4091	"V269"	0.803402792147318
4104	"V270"	0.821133337240876
4105	"V271"	0.847280187918677
4107	"V272"	0.791636948803433
4116	"V273"	0.96022789724724
4147	"V274"	0.83751254535049
4151	"V275"	0.826685659003101
4168	"V276"	0.839970882472901
4184	"V277"	0.91809175475207
4206	"V278"	0.869849201816312
4247	"V279"	0.862084760037656
4265	"V280"	0.787696734108188
4276	"V281"	0.922783369780135
4313	"V282"	0.816020861406613
4322	"V283"	0.801059193238901
4328	"V284"	0.876638162999587
4329	"V285"	0.787886328852766
4330	"V286"	0.880153432447691
4353	"V287"	0.889304292473834
4386	"V288"	0.896959040114719
4401	"V289"	0.844656214451563
4411	"V290"	0.833439405141875
4419	"V291"	0.798578334355661
4427	"V292"	0.865379428983199
