"keep"	"Quant_Varia"	"Pst_Values"
32	"V1"	0.798452958493276
35	"V2"	0.832517785190215
52	"V3"	0.853199499850047
85	"V4"	0.886740845786475
93	"V5"	0.823566805202424
123	"V6"	0.810094708539998
139	"V7"	0.912340507960035
209	"V8"	0.848969879332356
213	"V9"	0.817693269877567
272	"V10"	0.807871482027645
290	"V11"	0.806236695834363
293	"V12"	0.857695413953778
302	"V13"	0.801173384174373
304	"V14"	0.902076215661657
331	"V15"	0.840770439397487
376	"V16"	0.817954302546153
388	"V17"	0.831959706685432
412	"V18"	0.825682455827953
460	"V19"	0.813675104853614
462	"V20"	0.82576060730741
464	"V21"	0.929207407115153
497	"V22"	0.88982346694977
532	"V23"	0.892849780164207
561	"V24"	0.802805394668802
594	"V25"	0.850500943495271
628	"V26"	0.842937108824064
699	"V27"	0.91042130687315
700	"V28"	0.864833183771553
702	"V29"	0.867040305060991
715	"V30"	0.793700726347372
788	"V31"	0.816108823782038
814	"V32"	0.828349231440723
824	"V33"	0.8997153499619
857	"V34"	0.817586864516129
861	"V35"	0.834073302800077
918	"V36"	0.923471374711237
943	"V37"	0.801014778301275
945	"V38"	0.805685877765641
961	"V39"	0.835778418137046
962	"V40"	0.885525964836717
1024	"V41"	0.80808483148729
1029	"V42"	0.905940935903682
1045	"V43"	0.819748667915321
1083	"V44"	0.859182951027806
1138	"V45"	0.824021004406701
1140	"V46"	0.831030435463457
1145	"V47"	0.819321027608219
1148	"V48"	0.855130308856466
1160	"V49"	0.83015048988674
1198	"V50"	0.834537766946088
1203	"V51"	0.89556074774045
1206	"V52"	0.793415954448629
1217	"V53"	0.832049717171338
1223	"V54"	0.852143555614234
1231	"V55"	0.950127624983667
1329	"V56"	0.845854053184671
1344	"V57"	0.871099394626413
1353	"V58"	0.810350777438018
1385	"V59"	0.853797738102145
1393	"V60"	0.795304700580758
1434	"V61"	0.804989867352102
1499	"V62"	0.812510005363661
1501	"V63"	0.862127810159211
1510	"V64"	0.803194382142516
1511	"V65"	0.833087738117433
1520	"V66"	0.891795317786247
1543	"V67"	0.794298325059588
1563	"V68"	0.83580282844968
1581	"V69"	0.807116715085348
1617	"V70"	0.800318475059051
1624	"V71"	0.797151284769875
1659	"V72"	0.807838907461514
1666	"V73"	0.878625264512677
1685	"V74"	0.811188335530753
1733	"V75"	0.875558673586921
1739	"V76"	0.924884885496259
1756	"V77"	0.846431561391499
1768	"V78"	0.835645701092871
1853	"V79"	0.872772444386638
1854	"V80"	0.818302612545722
1857	"V81"	0.848169831587111
1885	"V82"	0.839040447495996
1901	"V83"	0.83227348093164
1927	"V84"	0.880185985483682
1933	"V85"	0.807350783400803
1945	"V86"	0.830947642162723
1947	"V87"	0.88306287346776
2028	"V88"	0.796651621382942
2040	"V89"	0.869530549163581
2061	"V90"	0.958287377626791
2116	"V91"	0.854977020042721
2122	"V92"	0.807006027956309
2127	"V93"	0.851638983365053
2128	"V94"	0.823681053622016
2150	"V95"	0.837557243456424
2235	"V96"	0.842212604096062
2245	"V97"	0.848568108697864
2284	"V98"	0.829486008832039
2287	"V99"	0.939809488384263
2346	"V100"	0.970333663303368
2383	"V101"	0.858991816933973
2388	"V102"	0.79694463619056
2409	"V103"	0.846002252097119
2411	"V104"	0.845451743039209
2425	"V105"	0.872836022442726
2438	"V106"	0.813679223079277
2439	"V107"	0.800103823946745
2471	"V108"	0.809542536691225
2495	"V109"	0.797612898544173
2506	"V110"	0.891891875400415
2526	"V111"	0.914640753863648
2535	"V112"	0.930206077079185
2564	"V113"	0.936710705506391
2581	"V114"	0.809135612063013
2591	"V115"	0.901297128555254
2625	"V116"	0.794775301401003
2680	"V117"	0.814589249562677
2692	"V118"	0.842146678787491
2726	"V119"	0.851216264796798
2733	"V120"	0.824684593060358
2738	"V121"	0.820441319855833
2751	"V122"	0.855540034583583
2754	"V123"	0.833098711777456
2768	"V124"	0.814901373395829
2824	"V125"	0.874489514879136
2874	"V126"	0.814484404019805
2883	"V127"	0.811334796462181
2901	"V128"	0.889970589828793
2905	"V129"	0.79890810607883
3022	"V130"	0.809246309097621
3064	"V131"	0.797839221533969
3085	"V132"	0.895411589391488
3111	"V133"	0.955270887122554
3116	"V134"	0.819625160216067
3134	"V135"	0.81149110944345
3148	"V136"	0.905110487186667
3212	"V137"	0.832740810926829
3251	"V138"	0.804635852710536
3252	"V139"	0.880334052721717
3258	"V140"	0.935327915417184
3259	"V141"	0.851391097063101
3263	"V142"	0.814066215723431
3279	"V143"	0.844034512022641
3280	"V144"	0.907161692014798
3296	"V145"	0.811555286291878
3330	"V146"	0.805781525469368
3388	"V147"	0.863745829190786
3469	"V148"	0.905999869284318
3501	"V149"	0.792682690394602
3543	"V150"	0.847972971438776
3554	"V151"	0.829436036545803
3575	"V152"	0.844697912834779
3579	"V153"	0.807706691500349
3609	"V154"	0.865457064393076
3637	"V155"	0.884403197810759
3638	"V156"	0.837523321568688
3644	"V157"	0.853560260671897
3658	"V158"	0.82995330707248
3690	"V159"	0.854660871482279
3711	"V160"	0.822429993703332
3718	"V161"	0.84867552801238
3730	"V162"	0.848773287455472
3753	"V163"	0.917777726419857
3764	"V164"	0.900161044082713
3765	"V165"	0.80163477505248
3836	"V166"	0.835854653960562
3854	"V167"	0.90655932946111
3958	"V168"	0.808647765140037
3980	"V169"	0.820066518601375
3995	"V170"	0.816310177873105
4046	"V171"	0.92697002712824
4097	"V172"	0.888580838069846
4116	"V173"	0.945193577897682
4156	"V174"	0.848148969235824
4157	"V175"	0.852223394899146
4163	"V176"	0.895020607693777
4184	"V177"	0.857312851180006
4205	"V178"	0.797994114955635
4231	"V179"	0.847273381529519
4240	"V180"	0.809688292245506
4247	"V181"	0.830873067930698
4276	"V182"	0.847881446575396
4285	"V183"	0.802150629514338
4297	"V184"	0.797158748961258
4300	"V185"	0.791330208673848
4352	"V186"	0.920635481766814
4354	"V187"	0.839585666693484
4365	"V188"	0.82117119638744
4368	"V189"	0.803109066087718
4386	"V190"	0.873354019020174
4411	"V191"	0.86617538464536
4424	"V192"	0.840297421988007
4427	"V193"	0.882803511219525
4429	"V194"	0.829565406827963
4452	"V195"	0.809619882751101
4486	"V196"	0.793253991267001
4502	"V197"	0.820905001900954
4513	"V198"	0.82588289921368
4524	"V199"	0.840017515000127
4529	"V200"	0.88629134520704
4531	"V201"	0.841648157476214
4547	"V202"	0.841916464789909
4582	"V203"	0.907130222631049
4620	"V204"	0.858262870077174
4624	"V205"	0.798499974429257
4701	"V206"	0.798933850616475
4702	"V207"	0.814775606190026
4710	"V208"	0.97363021800627
4714	"V209"	0.949793705925317
4734	"V210"	0.857834078079867
4751	"V211"	0.922317422410889
4781	"V212"	0.816586638360571
4783	"V213"	0.883495389396163
4787	"V214"	0.918333309421881
4788	"V215"	0.908186427542435
4798	"V216"	0.84364476160007
4820	"V217"	0.792732363483041
4874	"V218"	0.915639803354216
4927	"V219"	0.891414162473621
4939	"V220"	0.866419820988693
4950	"V221"	0.875165482432145
5012	"V222"	0.800532133699675
5020	"V223"	0.860307594394431
5107	"V224"	0.810487578509291
5110	"V225"	0.856316514368597
5140	"V226"	0.879656648535383
5168	"V227"	0.835327890808778
5195	"V228"	0.805719346178399
5196	"V229"	0.857462575649776
5270	"V230"	0.863220509676521
5290	"V231"	0.812600728562229
5292	"V232"	0.805297486776811
5293	"V233"	0.801130935385893
5312	"V234"	0.809242667862041
5331	"V235"	0.797711265948897
5418	"V236"	0.802783338826292
5438	"V237"	0.921337130713849
5588	"V238"	0.960820719318217
5598	"V239"	0.914037023089082
5616	"V240"	0.875898957114813
5621	"V241"	0.798007404389756
5641	"V242"	0.830874304533011
5649	"V243"	0.793651091502914
5656	"V244"	0.8653543795938
5674	"V245"	0.796418648490599
5712	"V246"	0.815181343893665
5801	"V247"	0.82338510964097
5840	"V248"	0.797556610159681
5864	"V249"	0.797334030640392
5908	"V250"	0.800886572787775
5943	"V251"	0.809474659896509
5960	"V252"	0.868739748528098
5965	"V253"	0.813897316769505
5981	"V254"	0.864750055612522
5991	"V255"	0.829110002719992
6002	"V256"	0.812749571379778
6035	"V257"	0.808546867124499
6064	"V258"	0.899508958108782
6095	"V259"	0.823972538774101
6096	"V260"	0.799487963908667
6106	"V261"	0.892839085309172
6166	"V262"	0.823349069085746
6188	"V263"	0.818061324032276
6206	"V264"	0.891764001698696
6212	"V265"	0.801315596552533
6229	"V266"	0.886407570344624
6273	"V267"	0.797517302327497
6280	"V268"	0.82653966152479
6307	"V269"	0.804667431629371
6310	"V270"	0.935607822811917
6319	"V271"	0.799326932325993
6332	"V272"	0.892675575104249
6337	"V273"	0.817666082059755
6367	"V274"	0.856199695555082
6378	"V275"	0.797216912007052
6381	"V276"	0.842278780720737
6386	"V277"	0.876096548726007
6392	"V278"	0.965223062644129
6400	"V279"	0.891178461783518
6440	"V280"	0.919873602578067
6468	"V281"	0.853427612605729
6493	"V282"	0.836242517353956
6501	"V283"	0.906325969752948
6542	"V284"	0.897198413386421
6554	"V285"	0.810426869617237
6570	"V286"	0.799854132902175
6580	"V287"	0.854934801334812
6582	"V288"	0.86964925917077
6583	"V289"	0.886965101865747
6632	"V290"	0.801424069838227
6659	"V291"	0.81250422084755
6668	"V292"	0.803601499496747
6671	"V293"	0.842435202528137
6693	"V294"	0.833676537688272
6709	"V295"	0.80600277448756
6739	"V296"	0.901880635981827
6865	"V297"	0.855572412645895
6875	"V298"	0.812884546947581
6882	"V299"	0.798247954893405
6913	"V300"	0.794868003238591
6914	"V301"	0.874036396989866
6943	"V302"	0.856883035589541
6952	"V303"	0.83113927965535
7006	"V304"	0.909378514887706
7035	"V305"	0.840531843953513
7041	"V306"	0.847701723335579
7042	"V307"	0.792039238501889
7044	"V308"	0.863637545982232
7046	"V309"	0.826580447839956
7060	"V310"	0.87940561305429
7148	"V311"	0.939011421435659
7149	"V312"	0.870974443350566
7158	"V313"	0.818159117342621
7181	"V314"	0.816208466667275
7189	"V315"	0.886229997141055
7195	"V316"	0.811076512527462
7207	"V317"	0.906660272688419
7218	"V318"	0.823886670179074
7272	"V319"	0.905166505877554
7339	"V320"	0.798112911461901
7347	"V321"	0.963303592269782
7350	"V322"	0.892950567954579
7377	"V323"	0.926695332147274
7383	"V324"	0.874578476432805
7439	"V325"	0.85297946115815
7451	"V326"	0.803594790967816
7473	"V327"	0.823061881247466
7485	"V328"	0.865329445949568
7541	"V329"	0.833709792190929
7543	"V330"	0.881818091457304
7549	"V331"	0.846808610760739
7556	"V332"	0.852199311168569
7587	"V333"	0.907714889325658
7593	"V334"	0.851503126207765
7610	"V335"	0.8366970639115
7781	"V336"	0.882869916436943
7841	"V337"	0.848233346171161
7847	"V338"	0.799334492660488
7874	"V339"	0.80893246018054
7879	"V340"	0.883703799095796
7910	"V341"	0.805042870864408
7932	"V342"	0.81825359598819
7941	"V343"	0.899020570213156
7950	"V344"	0.884157104090758
7958	"V345"	0.809778013671178
7984	"V346"	0.804732546797992
8047	"V347"	0.820009862563495
8058	"V348"	0.821557615336188
8084	"V349"	0.817710500821645
8131	"V350"	0.856207981987109
8137	"V351"	0.792423295627644
8181	"V352"	0.927883875239834
8182	"V353"	0.800039693533996
8210	"V354"	0.938760097504582
8212	"V355"	0.831382500736964
8216	"V356"	0.84891317794249
8327	"V357"	0.81381633261975
8351	"V358"	0.84611240691629
8372	"V359"	0.82316177779353
8377	"V360"	0.806571626543195
8384	"V361"	0.819292922545422
8401	"V362"	0.885277431100599
8414	"V363"	0.867515180690477
8416	"V364"	0.832870040683501
8417	"V365"	0.859278985952188
8420	"V366"	0.899690569344541
8443	"V367"	0.802325904516615
8457	"V368"	0.795610169172828
8478	"V369"	0.823624829394008
8523	"V370"	0.819062623843776
8546	"V371"	0.875218897093818
8548	"V372"	0.838300435321545
8593	"V373"	0.828763685414265
8619	"V374"	0.796732727305433
8645	"V375"	0.805369785127881
8650	"V376"	0.806318407888326
8679	"V377"	0.870697560299582
8683	"V378"	0.935007748341286
8687	"V379"	0.822787334777304
8718	"V380"	0.915865275870793
8744	"V381"	0.883843195317207
8748	"V382"	0.815866076197997
8753	"V383"	0.8970829591989
8774	"V384"	0.835259220998419
8781	"V385"	0.914701088852588
8789	"V386"	0.806002485705212
8802	"V387"	0.810677721497834
8812	"V388"	0.824903935056645
8822	"V389"	0.839962167248302
8825	"V390"	0.822770371530401
8834	"V391"	0.817466653933321
8848	"V392"	0.834913164710674
8865	"V393"	0.818997459412319
8870	"V394"	0.884751294315784
8891	"V395"	0.854441168000554
8895	"V396"	0.8209798021291
8916	"V397"	0.81636040979144
8917	"V398"	0.931510392107924
8929	"V399"	0.923690007784883
8931	"V400"	0.951201580187483
8933	"V401"	0.814077286542692
8956	"V402"	0.794804311143476
8962	"V403"	0.85895679777754
8979	"V404"	0.84832825003194
8987	"V405"	0.909452319384084
9038	"V406"	0.880089617792652
9043	"V407"	0.794490487782129
9053	"V408"	0.820608308893976
9059	"V409"	0.835733875563503
9068	"V410"	0.94892296608441
9069	"V411"	0.824759611477993
9071	"V412"	0.79644366766973
9087	"V413"	0.895176883412365
9093	"V414"	0.804577649275238
9144	"V415"	0.842349475515874
9152	"V416"	0.826973761989779
9170	"V417"	0.791429946745639
9174	"V418"	0.851807621484754
9250	"V419"	0.902350023750593
9272	"V420"	0.85930420854681
9279	"V421"	0.956708564389674
9300	"V422"	0.831887031296162
9337	"V423"	0.801751904802582
9354	"V424"	0.930705573773514
9393	"V425"	0.807117267157955
9408	"V426"	0.803130344157487
9448	"V427"	0.913300194405774
9459	"V428"	0.832681084263967
9463	"V429"	0.855121927000612
9466	"V430"	0.884721444272983
9471	"V431"	0.825492139643031
9481	"V432"	0.949413046357287
9497	"V433"	0.876665611896965
9553	"V434"	0.846869116390976
9598	"V435"	0.812317185345025
9606	"V436"	0.878705753630455
9644	"V437"	0.934938919630693
9646	"V438"	0.816146108826633
9658	"V439"	0.833210322635306
9685	"V440"	0.791548057001149
9719	"V441"	0.82213914399755
9756	"V442"	0.854560668769138
9798	"V443"	0.923456794743508
9836	"V444"	0.851402831785495
9848	"V445"	0.806634233635855
9866	"V446"	0.916865643679975
9877	"V447"	0.83729601836394
9886	"V448"	0.838249667328103
9914	"V449"	0.857010059479909
9927	"V450"	0.831533411095418
9934	"V451"	0.971018474900261
9943	"V452"	0.888059153562493
9944	"V453"	0.908834107353261
9971	"V454"	0.85446471382787
9972	"V455"	0.988881715394086
9976	"V456"	0.824039039460019
10014	"V457"	0.794094747124248
10015	"V458"	0.816156785560469
10049	"V459"	0.871132983975393
10051	"V460"	0.806259079340704
10064	"V461"	0.874964389591436
10098	"V462"	0.891044904914111
10099	"V463"	0.876270052475372
10104	"V464"	0.800680461835689
10123	"V465"	0.955737703617223
10131	"V466"	0.896133140144954
10132	"V467"	0.924325539297113
10139	"V468"	0.951850861732596
10146	"V469"	0.834776114906227
10154	"V470"	0.860771939427443
