"keep"	"Quant_Varia"	"Pst_Values"
85	"V1"	0.954863631604701
110	"V2"	0.85137702754072
112	"V3"	0.804813615534525
133	"V4"	0.861481922452842
149	"V5"	0.829901425213845
152	"V6"	0.819715674796436
156	"V7"	0.842117006998915
181	"V8"	0.830240285600928
198	"V9"	0.800116228722831
200	"V10"	0.866794770449627
226	"V11"	0.821552212843016
227	"V12"	0.821541801967264
236	"V13"	0.805420240454748
304	"V14"	0.848088042801349
325	"V15"	0.807758427832656
348	"V16"	0.862728689482839
372	"V17"	0.843557177616882
388	"V18"	0.826050226937346
395	"V19"	0.815202610177683
464	"V20"	0.94583159793469
585	"V21"	0.849579282030342
600	"V22"	0.855238022342176
601	"V23"	0.801911368138305
603	"V24"	0.857724932272946
609	"V25"	0.915194722026555
637	"V26"	0.80238128500192
686	"V27"	0.859571933083738
695	"V28"	0.853246110389723
699	"V29"	0.883732236837567
700	"V30"	0.850580137430234
710	"V31"	0.859551532765541
712	"V32"	0.803605240274375
733	"V33"	0.847525011036216
776	"V34"	0.803249587042255
814	"V35"	0.851847673086072
841	"V36"	0.870041948476068
870	"V37"	0.843742296009082
918	"V38"	0.890755890507816
936	"V39"	0.866797227258108
940	"V40"	0.84514922541295
961	"V41"	0.825828507227608
962	"V42"	0.926881021914001
986	"V43"	0.877708742999627
1037	"V44"	0.833135125053545
1083	"V45"	0.837182826496503
1099	"V46"	0.817701856248392
1114	"V47"	0.805336418783379
1140	"V48"	0.842908201375919
1203	"V49"	0.891027304719133
1231	"V50"	0.876017993125604
1246	"V51"	0.809481887665017
1325	"V52"	0.849241205080777
1329	"V53"	0.887639030014798
1344	"V54"	0.864797641996695
1355	"V55"	0.848750347456757
1381	"V56"	0.815023067199381
1385	"V57"	0.844904143610146
1393	"V58"	0.840204225903718
1411	"V59"	0.806232864568708
1499	"V60"	0.798910433126946
1518	"V61"	0.893314445345649
1568	"V62"	0.811350099348779
1639	"V63"	0.837541430090039
1666	"V64"	0.83646997858042
1683	"V65"	0.813722533044847
1694	"V66"	0.850165312533854
1717	"V67"	0.905228037891132
1756	"V68"	0.884354080027199
1782	"V69"	0.835259423584159
1785	"V70"	0.804866451682074
1881	"V71"	0.836663054790717
1927	"V72"	0.877870277729809
2012	"V73"	0.807838924888511
2055	"V74"	0.845952926098343
2061	"V75"	0.951044342737935
2125	"V76"	0.799940339746113
2127	"V77"	0.894339213337652
2198	"V78"	0.803093542753371
2214	"V79"	0.813835567227782
2215	"V80"	0.800314222837386
2216	"V81"	0.812420585645701
2287	"V82"	0.848086219450739
2340	"V83"	0.81458688102928
2346	"V84"	0.966775485934952
2375	"V85"	0.850297371062577
2402	"V86"	0.844877141442535
2447	"V87"	0.80480473557094
2464	"V88"	0.836864368737931
2483	"V89"	0.846055682277215
2498	"V90"	0.859204211709092
2526	"V91"	0.867838625969227
2535	"V92"	0.821197786221599
2564	"V93"	0.945138560533475
2579	"V94"	0.810681311604669
2591	"V95"	0.874312347987897
2716	"V96"	0.848128287900415
2726	"V97"	0.824628526979941
2738	"V98"	0.830668203835528
2822	"V99"	0.825783234135821
2860	"V100"	0.807374966019122
2870	"V101"	0.805872497063296
2874	"V102"	0.816056774240779
2883	"V103"	0.826766918485575
2894	"V104"	0.807500994351908
3025	"V105"	0.801440096443518
3046	"V106"	0.872527837202483
3084	"V107"	0.883494834499159
3085	"V108"	0.934461405066042
3111	"V109"	0.970993107819889
3113	"V110"	0.823944448094446
3115	"V111"	0.910246775485351
3142	"V112"	0.908616986052409
3147	"V113"	0.821400441375392
3165	"V114"	0.806967994905063
3218	"V115"	0.80914246645285
3256	"V116"	0.803046156246632
3258	"V117"	0.900688351651357
3279	"V118"	0.8759358003311
3292	"V119"	0.805643397681866
3299	"V120"	0.852582439730405
3306	"V121"	0.816439740659355
3344	"V122"	0.824064101844358
3388	"V123"	0.820139609725808
3399	"V124"	0.85269576777251
3403	"V125"	0.861126408578074
3414	"V126"	0.797731099017959
3460	"V127"	0.853340097736838
3463	"V128"	0.806823408053205
3469	"V129"	0.93350108866226
3527	"V130"	0.801349399884421
3554	"V131"	0.903585781344145
3557	"V132"	0.806710424809828
3569	"V133"	0.884022499902825
3574	"V134"	0.875409210405968
3575	"V135"	0.838162362597578
3589	"V136"	0.862972434270235
3737	"V137"	0.841626995892299
3753	"V138"	0.886550952780462
3757	"V139"	0.845001603443665
3845	"V140"	0.835777655049044
3854	"V141"	0.910711003560454
3861	"V142"	0.884241283650399
3883	"V143"	0.865673181588203
3954	"V144"	0.868525626357023
4019	"V145"	0.868910362484091
4041	"V146"	0.865767177947639
4046	"V147"	0.926065891659276
4080	"V148"	0.850003196776472
4105	"V149"	0.81524170130528
4116	"V150"	0.966754118868316
4129	"V151"	0.862482093140181
4184	"V152"	0.8086075551338
4205	"V153"	0.904275485756718
4208	"V154"	0.888541858385126
4212	"V155"	0.80486116913829
4231	"V156"	0.836862468511575
4240	"V157"	0.82161095572544
4247	"V158"	0.867524825840695
4279	"V159"	0.822641462185712
4307	"V160"	0.828583321769754
4335	"V161"	0.822476262988608
4353	"V162"	0.894298441017478
4411	"V163"	0.803727761325079
4424	"V164"	0.819467766662673
4453	"V165"	0.802296063704535
4486	"V166"	0.844409071021268
4487	"V167"	0.800053248599175
4508	"V168"	0.814080318226092
4513	"V169"	0.810178176515528
4547	"V170"	0.903177830254756
4549	"V171"	0.854465361591253
4608	"V172"	0.824090618284923
4624	"V173"	0.807041814188066
4702	"V174"	0.823285191922163
4710	"V175"	0.972954724918375
4711	"V176"	0.803695978883844
4714	"V177"	0.925921413582767
4751	"V178"	0.840671519102644
4757	"V179"	0.800577724322913
4787	"V180"	0.919286517109409
4794	"V181"	0.865750635413646
4854	"V182"	0.865423467705411
4873	"V183"	0.800682230555913
4874	"V184"	0.848293364010706
4881	"V185"	0.883900440152434
4913	"V186"	0.915549345242166
4927	"V187"	0.830592868932548
4939	"V188"	0.929895815573325
4976	"V189"	0.806627565307494
5007	"V190"	0.846623796642682
5013	"V191"	0.921394805325908
5028	"V192"	0.851322247122954
5046	"V193"	0.801022810923908
5052	"V194"	0.807748222051417
5064	"V195"	0.834985188667888
5140	"V196"	0.869348587729657
5174	"V197"	0.855213799071546
5219	"V198"	0.860417796772769
5230	"V199"	0.808519560785711
5241	"V200"	0.809832205690127
5252	"V201"	0.812089880476724
5270	"V202"	0.827558571344632
5277	"V203"	0.823715405812038
5293	"V204"	0.816917280701125
5336	"V205"	0.800140318238352
5343	"V206"	0.817563172847213
5438	"V207"	0.955413985972101
5442	"V208"	0.829280332472425
5445	"V209"	0.908927621046824
5474	"V210"	0.855135601615367
5537	"V211"	0.885958873063982
5562	"V212"	0.82495643867414
5581	"V213"	0.823746218208761
5588	"V214"	0.943974876067657
5598	"V215"	0.902550140159072
5616	"V216"	0.906578731264876
5620	"V217"	0.903006653216679
5626	"V218"	0.856615053479607
5671	"V219"	0.807649509365496
5680	"V220"	0.815401987140552
5823	"V221"	0.910156251652951
5865	"V222"	0.85021763848375
5885	"V223"	0.846139872640359
5887	"V224"	0.869373727067249
5888	"V225"	0.893895778139959
5924	"V226"	0.797361557823072
5927	"V227"	0.868555928217522
5940	"V228"	0.824953398108092
5943	"V229"	0.852216008158786
5960	"V230"	0.914014566751614
5989	"V231"	0.826910019963486
6002	"V232"	0.878473924500688
6026	"V233"	0.837897638015293
6035	"V234"	0.845126295235874
6052	"V235"	0.817009583839075
6066	"V236"	0.877901214243894
6151	"V237"	0.824500394547388
6169	"V238"	0.857576876483342
6289	"V239"	0.851677971559223
6293	"V240"	0.813746043875101
6308	"V241"	0.81508053912205
6310	"V242"	0.811519544583886
6312	"V243"	0.8174654935249
6368	"V244"	0.857984104941924
6386	"V245"	0.918180222337705
6389	"V246"	0.896137154436374
6392	"V247"	0.95541341106282
6428	"V248"	0.882395422860215
6432	"V249"	0.809716142732461
6440	"V250"	0.898882829999795
6449	"V251"	0.843682266791503
6485	"V252"	0.879782923279535
6501	"V253"	0.90686435383317
6542	"V254"	0.908658621170816
6570	"V255"	0.836512290269534
6580	"V256"	0.82043239365703
6627	"V257"	0.904277228354118
6643	"V258"	0.856045365076937
6696	"V259"	0.812891437829952
6718	"V260"	0.827540167892215
6781	"V261"	0.829172324621022
6852	"V262"	0.813409629603793
6863	"V263"	0.811468912818352
6912	"V264"	0.844708426395961
6914	"V265"	0.928385624277436
6952	"V266"	0.892226750503959
7004	"V267"	0.814058103811427
7025	"V268"	0.840238006098965
7031	"V269"	0.905614568798253
7041	"V270"	0.813183765548021
7060	"V271"	0.820212624997518
7101	"V272"	0.897218038364137
7148	"V273"	0.904782870786195
7149	"V274"	0.867453958955576
7181	"V275"	0.866454200541416
7232	"V276"	0.806875848535336
7272	"V277"	0.940856419640631
7284	"V278"	0.840636486243792
7309	"V279"	0.871697927603834
7327	"V280"	0.834624102785641
7347	"V281"	0.949878324005099
7349	"V282"	0.807189126091193
7356	"V283"	0.833247871794358
7377	"V284"	0.905079620545869
7383	"V285"	0.893614697894778
7405	"V286"	0.797711333417968
7413	"V287"	0.855651371179519
7419	"V288"	0.881345286305044
7470	"V289"	0.821593747930356
7481	"V290"	0.823001429684085
7485	"V291"	0.833118260840602
7491	"V292"	0.871427006539696
7496	"V293"	0.849013909205459
7536	"V294"	0.821830080459176
7538	"V295"	0.834887515235152
7540	"V296"	0.823642627052096
7566	"V297"	0.834136708201622
7587	"V298"	0.807114956241059
7604	"V299"	0.798240763428901
7616	"V300"	0.818520712636778
7620	"V301"	0.848334413649881
7631	"V302"	0.836104980195883
7672	"V303"	0.827717079109915
7703	"V304"	0.812360378668069
7735	"V305"	0.837133544734196
7852	"V306"	0.909984789763858
7868	"V307"	0.816127133665867
7874	"V308"	0.821428302471831
7879	"V309"	0.931895538866047
7917	"V310"	0.872760302863533
7932	"V311"	0.924754694195995
7979	"V312"	0.882862169702311
8059	"V313"	0.802788938742278
8144	"V314"	0.803458849875578
8157	"V315"	0.83654907001588
8200	"V316"	0.812525846218982
8234	"V317"	0.833827813761405
8253	"V318"	0.821011510508135
8267	"V319"	0.818493921574708
8327	"V320"	0.839411561140384
