"keep"	"Quant_Varia"	"Pst_Values"
6	"V1"	0.795769777133021
35	"V2"	0.780673953057801
44	"V3"	0.796938141751431
50	"V4"	0.795073438102352
75	"V5"	0.83327735404236
80	"V6"	0.791070709052224
85	"V7"	0.845742978898416
110	"V8"	0.912874894210188
112	"V9"	0.894943658283404
133	"V10"	0.832769429457121
136	"V11"	0.886142739047263
141	"V12"	0.787347184258622
168	"V13"	0.809013949080835
171	"V14"	0.815248249666595
172	"V15"	0.80155983175721
174	"V16"	0.8342192175023
177	"V17"	0.833203657697417
187	"V18"	0.827251784337272
213	"V19"	0.864890334851467
221	"V20"	0.829110149273018
248	"V21"	0.907935913340196
285	"V22"	0.92153169875544
290	"V23"	0.884125293458228
292	"V24"	0.801963236012237
301	"V25"	0.771888699354684
304	"V26"	0.921320427647132
313	"V27"	0.823625525809779
414	"V28"	0.874843722102538
415	"V29"	0.802880326250316
462	"V30"	0.924898842446546
464	"V31"	0.959153864495982
497	"V32"	0.922411479519882
498	"V33"	0.833669920316839
504	"V34"	0.777841410710264
523	"V35"	0.792124602668355
532	"V36"	0.916204376535186
534	"V37"	0.830938431728564
548	"V38"	0.809399514819415
560	"V39"	0.805223905214677
568	"V40"	0.875542681226232
576	"V41"	0.851552137059958
584	"V42"	0.806231324955437
585	"V43"	0.776781460748424
603	"V44"	0.828567134865856
612	"V45"	0.817463796538892
673	"V46"	0.840381424537068
674	"V47"	0.840055053293797
676	"V48"	0.912814873961889
686	"V49"	0.879155374307426
699	"V50"	0.909169713640705
714	"V51"	0.89140443930227
721	"V52"	0.816519476240899
727	"V53"	0.789771592779158
759	"V54"	0.769476197081024
784	"V55"	0.847636945670073
803	"V56"	0.798020142182798
804	"V57"	0.878115060953706
810	"V58"	0.832414488721347
814	"V59"	0.832727771889547
817	"V60"	0.820651462627481
822	"V61"	0.87830602774715
824	"V62"	0.857899961118881
827	"V63"	0.831863660717385
841	"V64"	0.803036870145175
850	"V65"	0.779478798554404
861	"V66"	0.797534675150763
884	"V67"	0.804429702465106
897	"V68"	0.836485753049713
918	"V69"	0.77205178041335
961	"V70"	0.805545161134141
962	"V71"	0.897819835266172
964	"V72"	0.784727827038025
981	"V73"	0.846089850056156
1002	"V74"	0.82474297645225
1004	"V75"	0.836338507651749
1029	"V76"	0.872008187161194
1034	"V77"	0.784110460266026
1042	"V78"	0.794215796898168
1043	"V79"	0.846894844601015
1045	"V80"	0.839631462722621
1083	"V81"	0.805093641139794
1091	"V82"	0.82586893828973
1150	"V83"	0.854245291682264
1161	"V84"	0.81760152750736
1203	"V85"	0.956643801627466
1206	"V86"	0.782389554926682
1219	"V87"	0.83809942130298
1223	"V88"	0.812287933677415
1231	"V89"	0.866046033413135
1291	"V90"	0.86938345132638
1297	"V91"	0.826892593877994
1320	"V92"	0.781885168157257
1329	"V93"	0.82648091642745
1342	"V94"	0.808716604675944
1344	"V95"	0.906037199620405
1385	"V96"	0.83313266918999
1393	"V97"	0.828839019239657
1402	"V98"	0.784396930813862
1467	"V99"	0.776345211232216
1473	"V100"	0.805911450267629
1484	"V101"	0.804869968661268
1491	"V102"	0.798591698186751
1492	"V103"	0.860770313092455
1501	"V104"	0.928932425122431
1511	"V105"	0.889974833186987
1518	"V106"	0.882041429930017
1528	"V107"	0.825078887125682
1548	"V108"	0.866139381153829
1561	"V109"	0.88874366462269
1564	"V110"	0.842409067799889
1567	"V111"	0.81106875330747
1570	"V112"	0.785852491155519
1591	"V113"	0.817950665087132
1628	"V114"	0.848369148307952
1659	"V115"	0.80504927905903
1666	"V116"	0.873022387773455
1685	"V117"	0.780254617365605
1688	"V118"	0.812314489141811
1731	"V119"	0.775158866406925
1733	"V120"	0.829378168814388
1739	"V121"	0.822702876416949
1756	"V122"	0.846218998479954
1765	"V123"	0.769679690407206
1781	"V124"	0.817455272923749
1782	"V125"	0.935893485606888
1794	"V126"	0.777978979618974
1834	"V127"	0.796027039539177
1835	"V128"	0.891498693335983
1840	"V129"	0.77451935750013
1857	"V130"	0.932502566275697
1901	"V131"	0.822514215713311
1904	"V132"	0.852833723397056
1965	"V133"	0.780493264206396
1991	"V134"	0.773337547164418
2019	"V135"	0.792564317779781
2040	"V136"	0.878309710865206
2061	"V137"	0.942469706651854
2072	"V138"	0.812652729395684
2101	"V139"	0.8382822817696
2127	"V140"	0.842147844987279
2149	"V141"	0.808649527946527
2159	"V142"	0.80487069510823
2202	"V143"	0.89039939108001
2217	"V144"	0.803893109982115
2246	"V145"	0.882879994923655
2255	"V146"	0.833299541367844
2266	"V147"	0.831586713618527
2287	"V148"	0.884777039646485
2304	"V149"	0.771454874792162
2346	"V150"	0.959904817693989
2383	"V151"	0.847456279589473
2411	"V152"	0.863896020742183
2424	"V153"	0.801733326283463
2432	"V154"	0.80719554959504
2451	"V155"	0.849356531335299
2470	"V156"	0.771520114619402
2471	"V157"	0.833211660752586
2483	"V158"	0.909022006709157
2503	"V159"	0.819037266298916
2504	"V160"	0.808921629838162
2506	"V161"	0.810113860292318
2526	"V162"	0.87602506415628
2535	"V163"	0.922176486940997
2564	"V164"	0.892775524091175
2566	"V165"	0.860808095042886
2581	"V166"	0.793520986118423
2587	"V167"	0.876585624863868
2591	"V168"	0.83312207544202
2650	"V169"	0.863559501953808
2669	"V170"	0.883731931404684
2670	"V171"	0.818660694908437
2691	"V172"	0.781298750577168
2704	"V173"	0.782883093889892
2715	"V174"	0.771295787638346
2717	"V175"	0.785226127882921
2726	"V176"	0.928975120735322
2781	"V177"	0.786649826593021
2788	"V178"	0.779700202831645
2803	"V179"	0.843505558117234
2812	"V180"	0.796812297836827
2822	"V181"	0.832815007091857
2870	"V182"	0.783288822072413
2874	"V183"	0.78606263224762
2875	"V184"	0.800353298151667
2917	"V185"	0.828259978836005
2928	"V186"	0.781693243249843
2934	"V187"	0.859764736063646
2953	"V188"	0.859999976757411
2960	"V189"	0.846187595346945
2962	"V190"	0.838698101414917
