"keep"	"Quant_Varia"	"Pst_Values"
85	"V1"	0.919232240512183
94	"V2"	0.911552222460955
110	"V3"	0.886670273136195
126	"V4"	0.851351360804041
133	"V5"	0.843321395685346
139	"V6"	0.804650719950288
187	"V7"	0.810673624301097
293	"V8"	0.846832397822979
304	"V9"	0.832977290422838
385	"V10"	0.829540389498804
462	"V11"	0.84812317022548
464	"V12"	0.914793880489189
496	"V13"	0.860171345860632
497	"V14"	0.908720012603479
519	"V15"	0.834170767106051
532	"V16"	0.825553340700446
598	"V17"	0.834151090171799
664	"V18"	0.819658241398966
673	"V19"	0.810692560615626
676	"V20"	0.807916190736664
733	"V21"	0.81476255549715
752	"V22"	0.845905757477517
781	"V23"	0.838369337898729
804	"V24"	0.830784614681191
814	"V25"	0.865488753108521
817	"V26"	0.831763201166358
841	"V27"	0.86320047743022
870	"V28"	0.864591583854268
918	"V29"	0.872468096205263
1003	"V30"	0.836506200875748
1014	"V31"	0.826739663666401
1049	"V32"	0.800390609607469
1056	"V33"	0.850233600684697
1068	"V34"	0.822813343971828
1114	"V35"	0.821221960908231
1203	"V36"	0.933205874289414
1231	"V37"	0.830445368717794
1276	"V38"	0.835247073199543
1294	"V39"	0.820163159873152
1308	"V40"	0.853623947163304
1311	"V41"	0.845716466859803
1334	"V42"	0.863795385216156
1344	"V43"	0.914572125643878
1436	"V44"	0.80408758487711
1444	"V45"	0.824168972208765
1478	"V46"	0.816620425694302
1495	"V47"	0.894039780800364
1515	"V48"	0.839176511437571
1537	"V49"	0.821832682639964
1562	"V50"	0.869706873445815
1563	"V51"	0.821095507106877
1570	"V52"	0.871696045769125
1576	"V53"	0.810944987233815
1599	"V54"	0.904714288573264
1607	"V55"	0.803676611857755
1628	"V56"	0.870074675159642
1659	"V57"	0.867228904133172
1670	"V58"	0.85704073098036
1685	"V59"	0.875660692444612
1723	"V60"	0.872495248896764
1733	"V61"	0.84031517759955
1739	"V62"	0.898932165685506
1782	"V63"	0.863282716905242
1805	"V64"	0.840054493739345
1845	"V65"	0.877620328163592
1886	"V66"	0.815490915088418
1892	"V67"	0.830701804829887
1908	"V68"	0.865684250053987
2061	"V69"	0.931832525002393
2127	"V70"	0.901231087830515
2202	"V71"	0.931650213299934
2231	"V72"	0.829135893939486
2293	"V73"	0.829681496931913
2346	"V74"	0.899181805334402
2409	"V75"	0.843989727818456
2411	"V76"	0.917567222680666
2435	"V77"	0.856623258124312
2438	"V78"	0.818469615792917
2483	"V79"	0.809173331882489
2490	"V80"	0.817227876451254
2491	"V81"	0.811957740699263
2526	"V82"	0.919677123140189
2546	"V83"	0.877472507961866
2558	"V84"	0.850602341324585
2564	"V85"	0.909899209747299
2576	"V86"	0.825165198544942
2579	"V87"	0.825630887213567
2587	"V88"	0.863734355311435
2591	"V89"	0.875714133986116
2726	"V90"	0.912028030021998
2739	"V91"	0.853055563319849
2789	"V92"	0.807387809751106
2822	"V93"	0.881598372681912
2824	"V94"	0.84262035588669
2856	"V95"	0.84710801442184
2864	"V96"	0.830016560052016
2904	"V97"	0.821216166410275
2942	"V98"	0.847976908153765
2999	"V99"	0.844795145741741
3000	"V100"	0.811230138396526
3022	"V101"	0.899692382589367
3085	"V102"	0.886751309892724
3111	"V103"	0.96800651208757
3140	"V104"	0.824613429000543
3181	"V105"	0.858664746049268
3201	"V106"	0.915027435991813
3258	"V107"	0.891566561232103
3280	"V108"	0.852551749597069
3284	"V109"	0.848349188216432
3325	"V110"	0.871465672210627
3343	"V111"	0.817964735016873
3469	"V112"	0.903358160083744
3509	"V113"	0.844170311868921
3554	"V114"	0.926822398604555
3574	"V115"	0.854666189593595
3579	"V116"	0.913457790499507
3588	"V117"	0.845780260293598
3599	"V118"	0.877913176384541
3609	"V119"	0.856928571725912
3657	"V120"	0.842995881283126
3660	"V121"	0.871256122937773
3677	"V122"	0.818655968448071
3729	"V123"	0.825052948873612
3735	"V124"	0.902403071780465
3736	"V125"	0.882993076646815
3747	"V126"	0.814684023355933
3753	"V127"	0.906998896362485
3803	"V128"	0.855950674062415
3809	"V129"	0.880342972513975
3821	"V130"	0.837673590938767
3836	"V131"	0.854690311326437
3850	"V132"	0.850261289609039
3854	"V133"	0.867123775690353
3879	"V134"	0.868595368125575
3886	"V135"	0.818272470268606
3936	"V136"	0.845646550232462
3989	"V137"	0.884024207424636
4037	"V138"	0.816635209684505
4046	"V139"	0.920245133853565
4080	"V140"	0.833594637270129
4091	"V141"	0.821317143390266
4116	"V142"	0.934106936997544
4174	"V143"	0.804752773608411
4184	"V144"	0.895694160420919
4212	"V145"	0.883444896073937
4247	"V146"	0.838973739074059
4279	"V147"	0.849406623289409
4293	"V148"	0.806901990405645
4392	"V149"	0.854764195017368
4427	"V150"	0.903066620000056
4436	"V151"	0.80200809053108
4447	"V152"	0.850694703805121
4467	"V153"	0.799724064935534
4498	"V154"	0.81616797134096
4523	"V155"	0.866548783812608
4540	"V156"	0.81146482781892
4547	"V157"	0.895218839056233
4549	"V158"	0.821138655290593
4606	"V159"	0.839055996054544
4620	"V160"	0.883623384762205
4628	"V161"	0.830224258131217
4635	"V162"	0.888372180326911
4652	"V163"	0.935777469610659
4659	"V164"	0.865261114632373
4666	"V165"	0.86362408135976
4710	"V166"	0.968933268544573
4714	"V167"	0.915081483948474
4716	"V168"	0.814364474225478
4749	"V169"	0.82053038285411
4787	"V170"	0.90962178208075
4788	"V171"	0.859841121082156
4815	"V172"	0.820817093438016
4816	"V173"	0.84209193285973
4828	"V174"	0.813081196329201
4858	"V175"	0.885793681324326
4891	"V176"	0.826816220302808
4926	"V177"	0.818862306602496
4927	"V178"	0.802389435378021
4939	"V179"	0.878302674629079
4982	"V180"	0.80251986065514
5007	"V181"	0.874435752111916
5013	"V182"	0.866098972634647
5020	"V183"	0.876083552121525
5047	"V184"	0.8082568842798
5071	"V185"	0.847577685810841
5140	"V186"	0.903770396920313
5168	"V187"	0.814893299863538
5230	"V188"	0.804170111331796
5310	"V189"	0.806339619660408
5318	"V190"	0.846032256935131
5383	"V191"	0.872856983322325
5438	"V192"	0.941119591725637
5459	"V193"	0.872236182746812
5467	"V194"	0.802094288354087
5483	"V195"	0.849908792142198
5497	"V196"	0.878962250481195
5537	"V197"	0.835772116689593
5543	"V198"	0.90740234376452
5588	"V199"	0.924459379905901
5598	"V200"	0.848595410731493
5601	"V201"	0.839161462147527
5621	"V202"	0.850390070378796
