"keep"	"Quant_Varia"	"Pst_Values"
3	"V1"	0.830969987065305
66	"V2"	0.832233262158501
85	"V3"	0.918318538904232
115	"V4"	0.819752973266867
126	"V5"	0.884381492677295
129	"V6"	0.824942292248568
133	"V7"	0.904557510769407
139	"V8"	0.857051632532836
168	"V9"	0.806694965070088
171	"V10"	0.796650185128879
172	"V11"	0.804961892179347
173	"V12"	0.796792671401148
213	"V13"	0.802169241873705
235	"V14"	0.825481599263591
290	"V15"	0.83040668534288
292	"V16"	0.819501334399609
293	"V17"	0.832198767932443
304	"V18"	0.876545585605575
313	"V19"	0.866196329446276
428	"V20"	0.791043961255099
443	"V21"	0.801061371276863
462	"V22"	0.801536359207938
464	"V23"	0.951733140734891
484	"V24"	0.835194620683693
488	"V25"	0.81672824144146
532	"V26"	0.884398631555705
534	"V27"	0.893595584481925
568	"V28"	0.846688128249837
602	"V29"	0.890417154686932
603	"V30"	0.88114801781264
638	"V31"	0.806772250087945
644	"V32"	0.839885802528837
676	"V33"	0.901524973233384
699	"V34"	0.822998653023259
714	"V35"	0.847353259068687
733	"V36"	0.809257270805367
778	"V37"	0.81011384025338
783	"V38"	0.83875569784754
804	"V39"	0.877689432563078
817	"V40"	0.801663782593378
824	"V41"	0.869966753721751
870	"V42"	0.91120046769565
884	"V43"	0.835087590433195
918	"V44"	0.906989369563027
938	"V45"	0.797901498276205
940	"V46"	0.885246511785531
962	"V47"	0.859709969319368
966	"V48"	0.872923081815653
1021	"V49"	0.833424711244446
1029	"V50"	0.857122443415793
1083	"V51"	0.824846088835628
1133	"V52"	0.805035725147635
1140	"V53"	0.809853999030703
1172	"V54"	0.806765097230251
1203	"V55"	0.956754999923606
1204	"V56"	0.878489123354226
1211	"V57"	0.82701305463247
1223	"V58"	0.838252987378241
1231	"V59"	0.880978620914681
1329	"V60"	0.875481140350445
1344	"V61"	0.822239645113107
1349	"V62"	0.801142812222725
1385	"V63"	0.862138582776495
1402	"V64"	0.858224868369851
1421	"V65"	0.889425397460367
1511	"V66"	0.82638141754486
1512	"V67"	0.821721963961196
1563	"V68"	0.831229469631149
1570	"V69"	0.853571150400918
1628	"V70"	0.868927448045989
1642	"V71"	0.846856518293683
1666	"V72"	0.826306513116309
1678	"V73"	0.793028492371625
1688	"V74"	0.884729063695171
1739	"V75"	0.823344203169718
1756	"V76"	0.881842054294572
1835	"V77"	0.87665675503498
1853	"V78"	0.835728774227765
1857	"V79"	0.831753133316564
1925	"V80"	0.861984114639965
1927	"V81"	0.853926681847414
1961	"V82"	0.818193363985764
1964	"V83"	0.803152164681403
1965	"V84"	0.836937222993895
1997	"V85"	0.883588355617373
2040	"V86"	0.894147580165706
2061	"V87"	0.916240379966283
2093	"V88"	0.913860542708344
2127	"V89"	0.881194719340995
2139	"V90"	0.873361053017791
2150	"V91"	0.808500976017729
2198	"V92"	0.806854502145939
2201	"V93"	0.813744460864162
2202	"V94"	0.849484122289891
2204	"V95"	0.797502897556734
2210	"V96"	0.850794728705451
2245	"V97"	0.875908059133568
2259	"V98"	0.85441717520936
2287	"V99"	0.864498020862435
2346	"V100"	0.967321881949386
2351	"V101"	0.796106290097757
2364	"V102"	0.802730784852554
2411	"V103"	0.891223613248428
2413	"V104"	0.815097903576755
2414	"V105"	0.80942695143043
2438	"V106"	0.840870722841348
2458	"V107"	0.859453232709874
2495	"V108"	0.810245581440368
2537	"V109"	0.802569928977283
2564	"V110"	0.901722460487214
2581	"V111"	0.878408171667347
2587	"V112"	0.808214632896093
2599	"V113"	0.878974512058094
2600	"V114"	0.819072197983362
2624	"V115"	0.829667898740157
2672	"V116"	0.831480578428921
2726	"V117"	0.823928104216118
2752	"V118"	0.81438336749638
2799	"V119"	0.885826476356785
2824	"V120"	0.897856058934753
2870	"V121"	0.817934976136097
2931	"V122"	0.797525118521325
3008	"V123"	0.851995301467855
3011	"V124"	0.791770715476097
3046	"V125"	0.845926660624104
3064	"V126"	0.906120112018234
3085	"V127"	0.914985629985904
3111	"V128"	0.959480957624261
3114	"V129"	0.870420920841463
3134	"V130"	0.871097655686578
3185	"V131"	0.81277979804032
3201	"V132"	0.916375245711611
3251	"V133"	0.835921100198314
3258	"V134"	0.879739563735062
3322	"V135"	0.826956788672871
3375	"V136"	0.828253059868723
3435	"V137"	0.855895777485483
3467	"V138"	0.80952608663087
3469	"V139"	0.935892254142038
