"keep"	"Quant_Varia"	"Pst_Values"
1513	"V1"	0.712731297394952
7048	"V2"	0.639387153400759
7490	"V3"	0.659345693874768
4544	"V4"	0.596405483281745
4569	"V5"	0.0447040737102656
4237	"V6"	0.22263556945898
5037	"V7"	0.148710173954766
7519	"V8"	0.681176676105754
5985	"V9"	0.422874068933005
7956	"V10"	0.0367083962653556
6212	"V11"	0.882129948713461
8057	"V12"	0.00342371278282708
9352	"V13"	0.702858551420427
3913	"V14"	0.000403160883800486
1173	"V15"	0.309735472713283
307	"V16"	0.070258229484947
6829	"V17"	0.0409865813983516
1679	"V18"	0.0187342501573051
8984	"V19"	0.251864398133486
9715	"V20"	0.0417110443306581
4083	"V21"	0.000269646261571952
4432	"V22"	0.108943647105253
3414	"V23"	0.668985078315806
6015	"V24"	0.660035554897182
823	"V25"	0.00357817008543229
1655	"V26"	0.067997029264767
6601	"V27"	0.0953993449753633
3398	"V28"	0.059521330389461
4470	"V29"	0.701725830456018
9333	"V30"	0.0042514114789895
5649	"V31"	0.510877169403222
10042	"V32"	0.330485471300622
9670	"V33"	0.585231083692323
8429	"V34"	0.0397786346695491
2175	"V35"	0.446068142133563
438	"V36"	0.74540193673985
9310	"V37"	0.56258345224055
832	"V38"	0.234420850931765
5766	"V39"	0.405451632261869
3670	"V40"	0.315377329850463
5054	"V41"	0.655069938651867
9440	"V42"	0.0184219591435372
722	"V43"	0.0975525405844441
5939	"V44"	0.881124527410158
140	"V45"	0.750025399098171
4590	"V46"	0.705252514381078
3033	"V47"	0.239658993681589
6338	"V48"	0.833783248004014
3711	"V49"	0.214528079268318
1597	"V50"	0.463891427135815
4081	"V51"	0.640377879269524
3165	"V52"	0.578688685991788
7066	"V53"	0.0143291428396163
6262	"V54"	0.0524567401124451
4634	"V55"	0.628680240530599
4248	"V56"	0.67518938646497
7225	"V57"	0.165563912956671
4622	"V58"	0.139292337178012
1194	"V59"	0.0286229389467606
1907	"V60"	0.245812309455903
1938	"V61"	0.25433182447172
6369	"V62"	0.573456207064426
4620	"V63"	0.56680763738284
5380	"V64"	0.384129820094783
1673	"V65"	0.29639700689528
3443	"V66"	0.0224633043487445
4954	"V67"	0.000598523865957482
5670	"V68"	0.194441812594784
9107	"V69"	0.661694581101182
1952	"V70"	0.0975698987870883
811	"V71"	0.300180197523876
9979	"V72"	0.400657758552891
1268	"V73"	0.137127793077311
10058	"V74"	0.0504962911801662
3194	"V75"	0.448686826447647
8899	"V76"	4.6793731434787e-05
9274	"V77"	0.215069522150115
2439	"V78"	0.318238047171636
7122	"V79"	0.345203856050588
5689	"V80"	0.858513006174741
8955	"V81"	0.308617414414476
9867	"V82"	0.449708386007266
7069	"V83"	0.418684978453148
208	"V84"	0.451760502608304
8763	"V85"	0.00967187614249082
5183	"V86"	0.104079445459994
5840	"V87"	0.779886856346928
2369	"V88"	0.0942942801922844
1963	"V89"	0.522755662065295
7337	"V90"	0.773618828719618
9760	"V91"	0.503401481411111
9439	"V92"	0.22521299383848
5367	"V93"	0.0122949091557021
3935	"V94"	0.475656466414985
8	"V95"	0.234493672862304
4599	"V96"	0.254666363129188
8542	"V97"	0.662419189449729
1352	"V98"	0.407675336014562
46	"V99"	0.00971760956130323
1022	"V100"	0.551215438825399
4604	"V101"	0.0854011440874136
2421	"V102"	0.645337640522503
2193	"V103"	0.476443070594065
4861	"V104"	0.377531036875762
3267	"V105"	0.0442718442841924
668	"V106"	0.349446642440422
412	"V107"	0.261227610658267
2554	"V108"	0.28457947445727
2078	"V109"	0.086232106330646
8684	"V110"	0.614249065175741
4643	"V111"	0.577766590492753
2770	"V112"	0.0650766895424496
8832	"V113"	0.356002911187705
2952	"V114"	0.11864924548744
