"keep"	"Quant_Varia"	"Pst_Values"
3002	"V1"	0.00851422657996005
3812	"V2"	0.359550512236264
1187	"V3"	0.514173560285056
1599	"V4"	0.708269951389674
490	"V5"	0.571906570078001
2871	"V6"	0.236026862569416
3488	"V7"	0.410194571253163
8659	"V8"	0.5804828759779
2308	"V9"	0.481750515067074
4884	"V10"	0.0420129424921495
3619	"V11"	0.35503551160722
1724	"V12"	0.0592738314678795
2744	"V13"	0.138105991836342
3680	"V14"	0.00876304456389842
4320	"V15"	0.0698631630938879
3207	"V16"	0.1658537894471
3577	"V17"	0.0962488021634722
6552	"V18"	0.715186507374582
2273	"V19"	0.000489081298436257
3601	"V20"	0.857897362048052
5698	"V21"	0.384926701278844
871	"V22"	0.1360915545323
6029	"V23"	0.585296446823937
3582	"V24"	0.542571434012468
5365	"V25"	0.843952441566543
8105	"V26"	0.658866242806489
8660	"V27"	0.198635772164498
4185	"V28"	0.593897700219
4937	"V29"	0.475538989311222
2358	"V30"	0.359440606414669
2785	"V31"	0.584158734118395
5766	"V32"	0.654101047899937
9972	"V33"	0.991221739373141
6763	"V34"	0.492452604654076
9406	"V35"	0.838057343469797
2151	"V36"	0.50903012045834
2334	"V37"	0.340880148154004
5063	"V38"	0.290159956834374
1546	"V39"	0.00493096010139363
9180	"V40"	0.648345780629431
6202	"V41"	0.189112799025961
1640	"V42"	0.0755190743337132
4215	"V43"	0.534612149709663
1528	"V44"	0.0100282824751516
4719	"V45"	0.497906496200115
5164	"V46"	0.631742659120232
9721	"V47"	0.519293256080357
8548	"V48"	0.8837119931471
2001	"V49"	0.681023582617122
3433	"V50"	0.19487421687387
4534	"V51"	0.79405581142854
3879	"V52"	0.913778528339321
989	"V53"	0.0522339349275826
8064	"V54"	0.491027836913058
304	"V55"	0.734858465020564
7324	"V56"	0.727244378556249
4343	"V57"	0.164237085498843
5909	"V58"	0.0591763580076721
1848	"V59"	0.289390915029573
1411	"V60"	0.67446843097049
4511	"V61"	0.878478263763185
5295	"V62"	0.0929980771136549
386	"V63"	0.0138979763241118
4554	"V64"	0.622782313280089
1492	"V65"	0.570444045542896
6584	"V66"	0.153047615486633
7548	"V67"	0.721092491353612
6204	"V68"	0.469502969720807
7230	"V69"	0.559121229840917
5029	"V70"	0.657452281026288
2709	"V71"	0.555385755339709
1643	"V72"	0.480785828391922
3362	"V73"	0.484642240435575
9511	"V74"	0.611296406392912
5016	"V75"	0.000111950802234248
7390	"V76"	0.0859995511513272
6187	"V77"	0.25678539073849
3004	"V78"	0.201444447553836
9945	"V79"	0.413662686900896
2985	"V80"	0.618278415146939
4050	"V81"	0.249192918674148
9703	"V82"	0.562454925758029
4463	"V83"	0.084738054171717
5466	"V84"	0.835588065989603
8788	"V85"	0.0363323795182032
8478	"V86"	0.867900793723819
9765	"V87"	0.284281684012863
670	"V88"	0.334626517094187
2338	"V89"	0.413277980442376
8547	"V90"	0.094870816418959
8290	"V91"	0.540087298514941
1532	"V92"	0.0399028034174457
6750	"V93"	0.206630017879335
5037	"V94"	0.282002532961553
9081	"V95"	0.335031067898777
2637	"V96"	0.378870780202489
108	"V97"	0.575309302466535
4323	"V98"	0.318431643495616
9371	"V99"	0.459414890445417
5087	"V100"	0.0966655871361188
8407	"V101"	0.105415844433418
6314	"V102"	0.202375781069267
9836	"V103"	0.786945059926088
8895	"V104"	0.477471788774516
9175	"V105"	0.208012644882729
573	"V106"	0.0106458581628184
3195	"V107"	0.0967110588255547
4881	"V108"	0.323539116916899
4180	"V109"	0.395783165931772
2426	"V110"	0.0808445554887412
1673	"V111"	0.206854335098293
1024	"V112"	0.181160473726417
7714	"V113"	0.192799964655704
5600	"V114"	0.68941277163473
9361	"V115"	0.0117608683754731
98	"V116"	0.0797541296489467
3913	"V117"	0.0293186624189806
522	"V118"	0.562931858254865
5232	"V119"	0.155810361672401
7397	"V120"	0.73243743400444
8254	"V121"	0.539922824862456
3345	"V122"	0.0128027058948915
2557	"V123"	0.729516350588731
5225	"V124"	0.383846719673897
5503	"V125"	0.358475305031433
9491	"V126"	0.112340846260421
4160	"V127"	0.0933649423088006
6135	"V128"	0.0290074265574242
8773	"V129"	0.56853742788869
2212	"V130"	0.0335521166211009
6103	"V131"	0.288530818026225
7935	"V132"	0.216661490611747
1049	"V133"	0.275360525878486
9373	"V134"	0.188734032766891
3467	"V135"	0.349178688092013
5358	"V136"	0.819580782142553
8565	"V137"	0.396008753213967
7311	"V138"	0.0798469787978048
3882	"V139"	0.0736701575401356
9353	"V140"	0.0297761608102065
9595	"V141"	0.118300010939488
7297	"V142"	0.419967308527011
5434	"V143"	0.122813242924204
3288	"V144"	0.000979169616423124
3298	"V145"	0.000995947862088856
7730	"V146"	0.536167464977401
5255	"V147"	0.414598108041971
2934	"V148"	0.189300364449456
6447	"V149"	0.00325938406553253
1341	"V150"	0.0529714632740603
4670	"V151"	0.479167246670471
9215	"V152"	0.0999603869218589
6984	"V153"	0.169647701120147
1723	"V154"	0.72874882127712
1822	"V155"	0.751611302911528
9742	"V156"	0.431907184260641
9374	"V157"	0.544542957077075
8052	"V158"	0.335245760240829
9142	"V159"	0.696135572308617
1777	"V160"	0.322215791587643
7684	"V161"	0.364598827170932
5270	"V162"	0.314287700063777
5473	"V163"	0.133835877343979
2293	"V164"	0.574579509629735
9940	"V165"	0.397469274982188
3376	"V166"	0.604485549670958
8756	"V167"	0.13273115469969
1645	"V168"	0.402373787154691
4774	"V169"	0.654646836928125
2027	"V170"	0.54749788040266
6091	"V171"	0.409920738809566
2198	"V172"	0.506041534258934
9985	"V173"	0.053189370117534
8145	"V174"	0.458112764585814
6034	"V175"	0.0569255145972093
646	"V176"	0.441299212157432
3768	"V177"	0.436544494907968
3667	"V178"	0.542823923675469
7168	"V179"	0.510544547803079
6504	"V180"	0.504265323828755
3147	"V181"	0.011252748809972
6501	"V182"	0.924387722422042
7231	"V183"	0.0577525862505663
2185	"V184"	0.17224208382161
8996	"V185"	0.0921952524764722
1540	"V186"	0.118188297338496
5609	"V187"	0.0539472794746527
4027	"V188"	0.616341917551278
4240	"V189"	0.0518587648599139
6816	"V190"	0.309132749597267
7941	"V191"	0.711081875913102
3555	"V192"	0.729728230659233
6653	"V193"	0.384998011369561
10111	"V194"	0.118580365392863
10144	"V195"	0.616880577786947
5091	"V196"	0.0181257379024758
3236	"V197"	0.213031947799235
4838	"V198"	0.00081546245477996
3709	"V199"	0.00279380002450259
6045	"V200"	0.0997431882953069
527	"V201"	0.120181324838154
2790	"V202"	0.720035060046291
5254	"V203"	0.0587861322955654
112	"V204"	0.603540059337294
4417	"V205"	0.312112210189497
5729	"V206"	0.38461122142828
765	"V207"	0.190915693833411
27	"V208"	0.0176132280365641
2036	"V209"	0.268943384779233
7840	"V210"	0.404864963075913
5422	"V211"	0.175775022420736
6186	"V212"	0.405918468767652
4696	"V213"	0.46118570591279
6429	"V214"	0.286211684947582
2531	"V215"	0.177968691108895
8838	"V216"	0.0672398170924999
2773	"V217"	0.263529623615884
4491	"V218"	0.684472257072216
8564	"V219"	0.0912793908961007
7900	"V220"	0.0680491522586613
4875	"V221"	0.546452694269377
7571	"V222"	0.456083829214728
5877	"V223"	0.647464236570317
2859	"V224"	0.579112588745801
7881	"V225"	0.427762154838679
7239	"V226"	0.0099567361716631
7688	"V227"	0.518552713381909
9745	"V228"	0.519190862289788
2454	"V229"	0.0317609063275558
7604	"V230"	0.741294236886416
3702	"V231"	0.164528202213732
4590	"V232"	0.419582976648476
6279	"V233"	0.00732553653100406
1158	"V234"	0.049395007701723
9916	"V235"	0.109588233496132
9377	"V236"	0.58632311360572
5131	"V237"	0.00313801643291336
7640	"V238"	0.282300131334073
7038	"V239"	0.0918878418032009
5805	"V240"	0.166545709034813
9418	"V241"	0.0197365501490341
9561	"V242"	0.248928831835234
1344	"V243"	0.878893593230303
6748	"V244"	0.362121049223319
5121	"V245"	0.416671424865064
3904	"V246"	0.0789033675536084
456	"V247"	0.173566597636034
9104	"V248"	0.574948122300544
6323	"V249"	0.00226526844027858
6517	"V250"	0.00949397250108104
8683	"V251"	0.833007270566615
7641	"V252"	0.208032787643496
443	"V253"	0.541028182739303
6533	"V254"	0.026332253056794
4250	"V255"	0.0378492189807479
7777	"V256"	0.0586882282864377
3797	"V257"	0.115900864359735
4315	"V258"	0.693945415951798
7616	"V259"	0.444103082380025
2252	"V260"	0.110448612820178
