"keep"	"Quant_Varia"	"Pst_Values"
4473	"V1"	0.474949702719312
8762	"V2"	0.665319970463566
8753	"V3"	0.894006791037492
6041	"V4"	0.765692623335084
4457	"V5"	0.357996191419083
469	"V6"	0.820090897503811
500	"V7"	0.438662359648734
1477	"V8"	0.326185503951659
5364	"V9"	0.25846393710725
8157	"V10"	0.758487350903622
8209	"V11"	0.00730590262541364
2209	"V12"	0.28062969458504
4909	"V13"	0.392101350977302
1674	"V14"	0.211786977387748
8073	"V15"	0.219933213789646
4130	"V16"	0.636537622864207
7529	"V17"	0.683852898189411
9494	"V18"	0.883366536871445
3281	"V19"	0.411783948804258
63	"V20"	0.210373656056738
3005	"V21"	0.52911468513581
3429	"V22"	0.812183287600243
7901	"V23"	0.240288419109774
7060	"V24"	0.793651340259713
5954	"V25"	0.796293407276753
1245	"V26"	0.185010525373558
9322	"V27"	0.125017112943082
7794	"V28"	0.152841993267356
8196	"V29"	0.0169875842200252
5846	"V30"	0.39184546040834
4869	"V31"	0.848261896386718
6533	"V32"	0.687395111747634
3574	"V33"	0.909801683812604
4035	"V34"	0.401267786371476
3230	"V35"	0.0318656373386629
2989	"V36"	0.00197570849322508
6053	"V37"	0.301554237228905
10147	"V38"	0.256739767659264
5125	"V39"	0.424606936990434
11	"V40"	0.129461896221824
6707	"V41"	0.220606816541993
4828	"V42"	0.0422989108367436
5764	"V43"	0.469050336145095
5854	"V44"	0.592614653043999
2244	"V45"	0.773888489946771
5409	"V46"	0.200023345662721
4837	"V47"	0.642000175938729
5344	"V48"	0.211979910542806
4627	"V49"	0.171276993612856
112	"V50"	0.850643343584326
1684	"V51"	0.349659431415355
4844	"V52"	0.156857230064206
3053	"V53"	0.00554471504375786
29	"V54"	0.340249512530713
8793	"V55"	0.369443542519655
2543	"V56"	0.207712300848884
8309	"V57"	0.522355712480043
7880	"V58"	0.012755706724192
9826	"V59"	0.495013036242408
3728	"V60"	0.181059315273741
569	"V61"	0.0917098018365698
1768	"V62"	0.20255337856313
4491	"V63"	0.430591124612283
9753	"V64"	0.61881852261519
8679	"V65"	0.661877449594937
1270	"V66"	0.376225885944434
6669	"V67"	0.0706129749464513
508	"V68"	0.137135061266147
8069	"V69"	0.0303586442948315
4442	"V70"	0.000766365755866645
9424	"V71"	0.339546425044179
8270	"V72"	0.0849067243579268
3601	"V73"	0.750326339697019
3714	"V74"	0.333939277753026
2638	"V75"	0.30282460077973
6393	"V76"	0.189784175319074
140	"V77"	0.635530143865273
315	"V78"	0.0893643355171451
9695	"V79"	0.0602310342090787
2820	"V80"	0.236923700434283
4403	"V81"	0.485943793329808
2276	"V82"	0.0623222197360387
8485	"V83"	0.00942380575921141
2408	"V84"	0.643892437863389
2623	"V85"	0.000556208070769493
6611	"V86"	0.223541257386842
2739	"V87"	0.853785814562744
3712	"V88"	0.662587753085266
5558	"V89"	0.377891490700356
8677	"V90"	0.121912640961882
6911	"V91"	0.821632161417101
6148	"V92"	0.498551655933709
8115	"V93"	0.151540653184789
9993	"V94"	0.030056203198641
2032	"V95"	0.671572409425014
1408	"V96"	0.0045699375404722
1497	"V97"	0.357213986627015
5728	"V98"	0.351211478248145
8770	"V99"	0.236353929693191
2174	"V100"	0.372960287214652
8211	"V101"	0.572822673334331
4022	"V102"	0.00274352968586089
4823	"V103"	0.136796409015633
3867	"V104"	0.0441246709952892
9426	"V105"	0.742532662053398
5804	"V106"	0.374438329526836
6246	"V107"	0.0806155108662757
7188	"V108"	0.207854550903188
5102	"V109"	0.389748244990211
4103	"V110"	0.49202850542898
243	"V111"	0.0016031954803732
6222	"V112"	0.545512928803902
1332	"V113"	0.828149808476315
3655	"V114"	0.365947172319144
5067	"V115"	0.409099181012568
6074	"V116"	0.386338230654216
9131	"V117"	0.4415232014726
6491	"V118"	0.194233258379007
8891	"V119"	0.779622356838967
8775	"V120"	0.190191644539719
5886	"V121"	0.523105026675775
6799	"V122"	0.512883889570258
389	"V123"	0.0367531629161214
3627	"V124"	0.116088981652056
3543	"V125"	0.75398953008988
6249	"V126"	0.632875697913965
9837	"V127"	0.206862065059504
8615	"V128"	0.620867915508089
9154	"V129"	0.31320369365048
4418	"V130"	0.0944764410724486
3894	"V131"	0.451150542134859
5413	"V132"	0.632698352990192
8178	"V133"	0.0048018515507606
2561	"V134"	0.752970671513154
3092	"V135"	0.826038453615353
8140	"V136"	0.409412900707887
7985	"V137"	0.0258783422036761
2161	"V138"	0.82263808992967
887	"V139"	0.402940494587141
6316	"V140"	0.480992939869901
145	"V141"	0.183500251648143
2475	"V142"	0.363135096153861
7786	"V143"	0.00414368449319229
4948	"V144"	0.373771635662136
1601	"V145"	0.180510958889118
3791	"V146"	0.198188830893751
7593	"V147"	0.230196881109903
1959	"V148"	0.579695136027838
4193	"V149"	0.120161386608984
10005	"V150"	0.0572880201573123
9006	"V151"	0.67964986860961
6832	"V152"	0.701921696846761
1066	"V153"	0.28965285859864
8174	"V154"	0.148901727172181
7618	"V155"	0.264558746596312
332	"V156"	0.109069643214464
7972	"V157"	0.048481748920934
3607	"V158"	0.021163496540675
4126	"V159"	0.402239474310229
700	"V160"	0.562504298680746
2194	"V161"	0.141173925613549
1579	"V162"	0.122802596326391
6979	"V163"	0.0498810394841021
1500	"V164"	0.466224629088618
7974	"V165"	0.505029746964885
2628	"V166"	0.17909182457685
7204	"V167"	0.00287822899718643
1635	"V168"	0.137477397254254
6275	"V169"	0.733909876951047
3073	"V170"	0.104404506198315
1481	"V171"	0.300051200065698
3094	"V172"	0.264136912958017
8390	"V173"	0.0783194866722841
7477	"V174"	0.0575021069620859
9366	"V175"	0.731069324740587
1652	"V176"	0.0478634167759621
9	"V177"	0.452049275173412
886	"V178"	0.0212793910015303
1687	"V179"	0.841258867286899
1700	"V180"	0.0860775436374001
1480	"V181"	0.489581190532408
2660	"V182"	0.351236321282746
2113	"V183"	0.766079342000863
7484	"V184"	0.005467110580797
4727	"V185"	0.00597932041864094
9195	"V186"	0.328173412051764
4200	"V187"	0.114638433583937
991	"V188"	0.44712244328308
8737	"V189"	0.249185323158702
3183	"V190"	0.020557862499412
271	"V191"	0.0121619937506576
9329	"V192"	0.208622370622512
6521	"V193"	0.175954987853652
40	"V194"	0.00399424053689031
4117	"V195"	0.019787642788413
143	"V196"	0.0649143489954535
4927	"V197"	0.922246648520884
916	"V198"	0.00750472964258513
10053	"V199"	0.0354623481403786
7213	"V200"	0.12541581932779
3639	"V201"	0.276206716295091
2064	"V202"	0.850878556523437
1015	"V203"	0.0971021685393127
6540	"V204"	0.0446032024022781
4553	"V205"	0.731029336313788
177	"V206"	0.829827541563326
5604	"V207"	0.184228475894954
3826	"V208"	0.687777256325271
5529	"V209"	0.0730875860637752
7016	"V210"	0.125747796237785
6253	"V211"	0.76919107182131
9417	"V212"	0.012493604484041
4259	"V213"	0.45644408441916
9815	"V214"	0.11900890693363
1644	"V215"	0.00358161482215371
3401	"V216"	0.0543842937076354
2877	"V217"	0.594210519180981
7761	"V218"	0.0457090548016721
2708	"V219"	0.0774910463697747
5329	"V220"	0.483331147852958
6638	"V221"	0.25447187646531
3114	"V222"	0.830918446603372
7383	"V223"	0.907282775619438
9785	"V224"	0.0290451015642529
1458	"V225"	0.715240105243887
872	"V226"	0.305203449982805
2374	"V227"	0.186419500339327
7225	"V228"	0.34145546736529
2833	"V229"	0.145751308747217
5542	"V230"	0.121535034568923
10145	"V231"	0.0269767145562988
377	"V232"	0.782757841372068
8897	"V233"	0.654574449190297
1482	"V234"	0.0861997942977691
7337	"V235"	0.438830029615314
1838	"V236"	0.0122052165271172
4298	"V237"	0.133495073817948
3336	"V238"	0.190411819329083
2910	"V239"	0.0563227131522562
6005	"V240"	0.00952009412193037
4327	"V241"	0.695284827119774
5707	"V242"	0.814286734665579
7047	"V243"	0.0724687143772925
5452	"V244"	0.121326381375938
2184	"V245"	0.232850061582684
8493	"V246"	0.0434682851492433
1944	"V247"	0.0309841100891404
9599	"V248"	0.0816903466397863
8475	"V249"	0.0498818585224382
1221	"V250"	0.0170220359644343
7091	"V251"	0.0972340623549341
3686	"V252"	0.0394849543202595
4382	"V253"	0.0856840912452834
826	"V254"	0.738843885743046
9804	"V255"	0.085598455333629
9951	"V256"	0.0642465296389998
3522	"V257"	0.353402495855725
2488	"V258"	0.272318546103163
8248	"V259"	0.512612662882898
882	"V260"	0.645311544648758
1216	"V261"	0.196497845650219
1701	"V262"	0.0958769637569936
9792	"V263"	0.178114846347901
564	"V264"	0.532739403460588
4094	"V265"	0.712466380463185
1534	"V266"	0.0322546829613454
4603	"V267"	0.0247326723056097
6330	"V268"	0.803049106653167
2590	"V269"	0.483235712517422
3760	"V270"	0.0106524953199221
610	"V271"	0.359499357491912
3800	"V272"	0.0918135905378044
9883	"V273"	0.809725096554048
5160	"V274"	0.0113652338424526
10021	"V275"	0.563342564925827
8392	"V276"	0.544839319973869
2375	"V277"	0.11863412193066
7514	"V278"	0.448142340669458
7900	"V279"	0.742670672025479
8416	"V280"	0.533684631029076
4782	"V281"	0.0779461782339957
9958	"V282"	0.881335264968342
7569	"V283"	0.0040000627630601
1115	"V284"	0.278832386135458
9989	"V285"	0.42349248750388
4651	"V286"	0.385295550704339
693	"V287"	0.23615847968226
6830	"V288"	0.439966934572172
5695	"V289"	0.669323144308535
4373	"V290"	0.0533202705694563
1844	"V291"	0.380653046804663
7757	"V292"	0.11238891177452
9097	"V293"	0.0196868142960553
5343	"V294"	0.835496529111665
2592	"V295"	0.00704648010173253
548	"V296"	0.0101611283972471
7251	"V297"	0.0417494143269122
7222	"V298"	0.444403466654992
3842	"V299"	0.0281036803877493
2268	"V300"	0.510711334249284
9160	"V301"	0.559451079535256
5312	"V302"	0.838396790603652
9660	"V303"	0.0873796433000285
3411	"V304"	0.598930040542065
358	"V305"	0.185164827461233
7749	"V306"	0.794155553745179
4429	"V307"	0.078273043688755
9638	"V308"	0.0940310838487618
1664	"V309"	0.415896675389553
6212	"V310"	0.853672765017947
3123	"V311"	0.61582793177479
8093	"V312"	0.416663087319201
2336	"V313"	0.213962586664522
6554	"V314"	0.763621645409644
8291	"V315"	0.00406091868588473
1636	"V316"	0.317464986475343
9288	"V317"	0.471246550033872
2789	"V318"	0.00333786195249476
