"keep"	"Quant_Varia"	"Pst_Values"
326	"V1"	0.116559800618639
5002	"V2"	0.343841912571532
9097	"V3"	0.228394823758271
9851	"V4"	0.492805201242442
9853	"V5"	0.14012380637065
7247	"V6"	0.0358871790658035
7266	"V7"	0.339210891314964
8224	"V8"	0.768619812844557
8778	"V9"	0.0026850193795237
13	"V10"	1.33806841511438e-05
10136	"V11"	0.548956717332587
6980	"V12"	0.29386871175419
7070	"V13"	0.0924459603123993
5270	"V14"	0.827558571344632
7617	"V15"	0.675954295611314
502	"V16"	0.057931788792242
2870	"V17"	0.805872497063296
9764	"V18"	0.657977656888474
3065	"V19"	0.0373785878850476
1349	"V20"	0.371451046289223
3535	"V21"	0.0674106687110082
6303	"V22"	0.0468534458543988
6410	"V23"	0.00763729736600634
1787	"V24"	0.00624125285804972
7080	"V25"	0.239831909656044
5724	"V26"	0.475088577485085
9244	"V27"	0.0288360681139545
9259	"V28"	0.62279574187627
3170	"V29"	0.0534711867840827
7830	"V30"	0.261873523653568
2529	"V31"	0.554041875950809
2628	"V32"	0.029624787123653
6983	"V33"	0.095605287553434
1304	"V34"	0.334416067024426
2281	"V35"	0.234416680700256
550	"V36"	0.144316154880347
806	"V37"	0.404322708558592
7932	"V38"	0.924754694195995
5604	"V39"	0.522542718954641
5591	"V40"	0.39361709711029
3331	"V41"	0.0179225548704743
8267	"V42"	0.818493921574708
158	"V43"	0.0367089943917812
1074	"V44"	0.0776438169215523
4091	"V45"	0.485554584185433
5488	"V46"	0.324880364469763
9348	"V47"	0.510488329715449
1943	"V48"	0.0276803503326591
9816	"V49"	0.570317570654155
3488	"V50"	0.574865228382749
6012	"V51"	0.478716518540362
1961	"V52"	0.00345264563301884
7106	"V53"	0.0717996117165735
6019	"V54"	0.0361144184822622
9591	"V55"	0.393789910908728
2419	"V56"	0.673687698597632
515	"V57"	0.69349441812373
2409	"V58"	0.00370610137797009
1629	"V59"	0.286392334805566
6663	"V60"	0.614756036959418
9581	"V61"	0.469500048722371
1543	"V62"	0.104374001954614
7854	"V63"	0.0123412199564193
7751	"V64"	0.238365470724195
3079	"V65"	0.353583445468352
9815	"V66"	0.311924887872604
1219	"V67"	0.75655991142451
5548	"V68"	0.0084774684460475
904	"V69"	0.199630890332944
1189	"V70"	0.606974599467081
269	"V71"	0.31797821087406
7253	"V72"	0.123998393812726
3764	"V73"	0.354103238489661
2280	"V74"	0.501822477478019
486	"V75"	0.0887537955760938
1284	"V76"	0.00711289456395968
336	"V77"	0.386003761374153
7396	"V78"	0.175803699054731
5828	"V79"	0.492541492307595
1693	"V80"	0.125663636937614
2727	"V81"	0.0869855057423524
5502	"V82"	0.320988217400427
3064	"V83"	0.496544534188677
7176	"V84"	0.261053108248423
8649	"V85"	0.136110230875552
1430	"V86"	0.160998273238648
2068	"V87"	0.119075189493307
3028	"V88"	0.188001541351922
1688	"V89"	0.704640293640734
8642	"V90"	0.876020533349239
3526	"V91"	0.437304044690017
483	"V92"	0.762964266872789
2230	"V93"	0.468129357476613
1129	"V94"	0.250838023848586
626	"V95"	7.91529100110136e-05
3926	"V96"	0.111443004443414
980	"V97"	0.174812896308956
8605	"V98"	0.485427788503054
6230	"V99"	0.0224859587566507
4193	"V100"	0.63757233301391
7735	"V101"	0.837133544734196
3148	"V102"	0.00273948131090345
3231	"V103"	0.266784082106093
7245	"V104"	0.033093081536241
8349	"V105"	0.532803329706561
8291	"V106"	0.694762629764404
1070	"V107"	0.0550686815704963
5619	"V108"	0.0409239725424146
6253	"V109"	0.534163049184229
3147	"V110"	0.821400441375392
3052	"V111"	0.494711761905148
7856	"V112"	0.494982230246415
819	"V113"	0.297852132809091
349	"V114"	0.00038910086726516
8981	"V115"	0.449849169751857
5922	"V116"	0.200411568964759
10055	"V117"	0.0308541148326698
4192	"V118"	0.104551786213719
3475	"V119"	0.4507968001325
4375	"V120"	0.768450881811337
4640	"V121"	0.648478960278419
9072	"V122"	0.453394439368064
8432	"V123"	0.257065506888837
29	"V124"	0.332371179390172
5872	"V125"	0.0223146378349677
1427	"V126"	0.435177550012658
8492	"V127"	0.0677922039760593
4011	"V128"	0.106479789968748
4275	"V129"	0.223054545385487
9486	"V130"	0.755799488088871
8174	"V131"	0.00607051115232029
6152	"V132"	0.075103699197082
2294	"V133"	0.381382069828433
3519	"V134"	0.133035112084038
5635	"V135"	0.323902669498496
5800	"V136"	0.243985836710649
2569	"V137"	0.698844591653121
8198	"V138"	0.148973956154029
9479	"V139"	0.421341301794969
4173	"V140"	0.283532741609554
8058	"V141"	0.747061465982689
5432	"V142"	0.654511592293042
4019	"V143"	0.868910362484091
4140	"V144"	0.0272892151050612
9104	"V145"	0.0415131784894969
5436	"V146"	0.759117050423285
