"keep"	"Quant_Varia"	"Pst_Values"
10073	"V1"	0.163921602521869
7542	"V2"	0.588959472397571
5079	"V3"	0.043097557670018
4271	"V4"	0.510644071763664
2263	"V5"	0.541935562275778
5635	"V6"	0.428654760814435
8725	"V7"	0.766975190658617
8990	"V8"	0.731390712415553
4566	"V9"	0.0923859110012219
4876	"V10"	0.199583928607099
8490	"V11"	0.625199033129441
8268	"V12"	0.507462877369432
3048	"V13"	0.017986290321142
2524	"V14"	0.684226874629305
9889	"V15"	0.0139491100393134
2131	"V16"	0.222436387643939
4180	"V17"	0.700411285053704
4835	"V18"	0.171489563305037
7957	"V19"	0.0134860540436524
2547	"V20"	0.283753102062183
549	"V21"	0.129749300855798
2651	"V22"	0.506769152062368
8383	"V23"	0.00353416050735684
3156	"V24"	0.209446053195459
2893	"V25"	0.354886991172926
9293	"V26"	0.0779431328868463
5025	"V27"	0.257965598033118
2859	"V28"	0.446964003518085
3038	"V29"	0.0301570497179352
1618	"V30"	0.298103947292849
4732	"V31"	0.274094315393156
3121	"V32"	0.728316162847563
1537	"V33"	0.301234923892149
2413	"V34"	0.0813133345365837
8669	"V35"	0.470916927541415
7955	"V36"	0.0116422420077594
7079	"V37"	0.229884949012804
487	"V38"	0.440062448699621
3823	"V39"	0.536224969977141
509	"V40"	0.573408668415071
8497	"V41"	0.0395818355443068
3381	"V42"	0.0323948779268126
7335	"V43"	0.641411407836935
8912	"V44"	0.383422739010254
302	"V45"	0.14284006849262
4601	"V46"	0.606807114508593
8326	"V47"	0.533301395564797
9415	"V48"	0.474720175594181
8160	"V49"	0.510873346045344
2166	"V50"	0.186563886787955
541	"V51"	0.299817393057487
8738	"V52"	0.752793092642763
1335	"V53"	0.238839688884309
539	"V54"	0.347288861288879
9968	"V55"	0.0254153301283286
8691	"V56"	0.629390438769312
5290	"V57"	0.0256110176819172
3268	"V58"	0.777136341992656
7254	"V59"	0.0212723538937481
7716	"V60"	0.225729848784594
5733	"V61"	0.0290721712027977
9419	"V62"	0.0883084250050972
10026	"V63"	0.0751412041115047
