"keep"	"Quant_Varia"	"Pst_Values"
4272	"V1"	0.330193774561607
1352	"V2"	0.357678411045496
1258	"V3"	0.351423934369347
7079	"V4"	0.538011270741433
1429	"V5"	0.428689012403327
7105	"V6"	0.00354641401579722
10038	"V7"	0.0711188494683434
3414	"V8"	0.773969882108882
82	"V9"	0.00255897053134629
8055	"V10"	0.503386294393055
4073	"V11"	0.714596836268846
574	"V12"	0.0828750924232013
1565	"V13"	0.0136598349503381
4469	"V14"	0.542048566335494
7766	"V15"	0.0748264676066105
409	"V16"	0.0878329016166709
6718	"V17"	0.0128272398471236
9811	"V18"	0.252217051537357
2969	"V19"	0.0259924131406064
1714	"V20"	0.264623697764101
9432	"V21"	0.471551606681537
335	"V22"	0.1926822095687
9734	"V23"	0.00112945579694976
4901	"V24"	0.0607005582342924
8603	"V25"	0.128545159910626
2747	"V26"	0.185083377350975
9684	"V27"	0.1694632458094
2211	"V28"	0.0438836736543462
4472	"V29"	0.506210455938376
1024	"V30"	0.0193268582870122
2308	"V31"	0.606419070115505
6094	"V32"	0.606040880645894
267	"V33"	0.248591588577121
5024	"V34"	0.389073788535418
3977	"V35"	0.282624117637644
3274	"V36"	0.0119419101817958
5934	"V37"	0.000186541176181316
772	"V38"	0.0542540977575837
9277	"V39"	0.355240619745505
3055	"V40"	0.125117848423448
6482	"V41"	0.197397040744558
6805	"V42"	0.00196592764827656
7504	"V43"	0.0839589039302095
2204	"V44"	0.625184830760285
7752	"V45"	0.483391639254189
8824	"V46"	0.675279845035014
5683	"V47"	0.00791218822331672
537	"V48"	0.294700179091082
9431	"V49"	0.110343742267207
2038	"V50"	0.00656132511105441
1662	"V51"	0.00584098395929717
7230	"V52"	0.426184190140282
5272	"V53"	0.571574780504686
8308	"V54"	0.0468633624824795
933	"V55"	0.555413887743506
2171	"V56"	0.457480774566171
1212	"V57"	0.0161106797683146
3257	"V58"	0.0146923452744178
6615	"V59"	0.0178435728989251
1941	"V60"	0.696347070486137
2280	"V61"	0.638364536293487
2832	"V62"	0.41292657181267
7979	"V63"	0.749999492412406
4233	"V64"	0.0735014390421022
7401	"V65"	0.547401922709753
5235	"V66"	0.347015049816745
234	"V67"	0.420839568124869
4595	"V68"	0.324299331302496
9136	"V69"	0.640360983691962
6884	"V70"	0.42417508722321
6555	"V71"	0.49839231194295
4103	"V72"	0.138251961914115
1643	"V73"	0.151656986182729
4075	"V74"	0.00448174792162414
6049	"V75"	0.0652502741863263
8195	"V76"	0.270963067879786
3299	"V77"	0.443934020459111
8160	"V78"	0.561078557382278
1549	"V79"	0.14239797408606
1286	"V80"	0.335874730804728
1019	"V81"	0.158426934769965
4703	"V82"	0.623286832357991
8352	"V83"	0.325757929114453
8969	"V84"	0.32970119087239
947	"V85"	0.33777492412004
659	"V86"	0.470491451744516
5230	"V87"	0.804170111331796
6530	"V88"	0.713096054628837
218	"V89"	0.0271165279019655
4957	"V90"	0.544955898888058
3838	"V91"	0.211491957804217
6057	"V92"	0.323575378952472
1032	"V93"	0.000582510324802331
1572	"V94"	0.098522770252466
2221	"V95"	8.67993639618215e-05
6536	"V96"	0.473684524365277
6573	"V97"	0.609707505575527
