"keep"	"Quant_Varia"	"Pst_Values"
8943	"V1"	0.303698306278048
8727	"V2"	0.59954037557877
714	"V3"	0.847353259068687
6752	"V4"	0.205945328859866
3545	"V5"	0.0524646922398161
9701	"V6"	0.205775883892083
3437	"V7"	0.000569715918056398
9954	"V8"	0.224669443895941
1495	"V9"	0.475542473425619
9412	"V10"	0.47913460758223
7681	"V11"	0.290857944291305
4470	"V12"	0.347357804744052
7944	"V13"	0.791085103350591
3207	"V14"	0.30924118006348
7553	"V15"	0.288502480540537
9680	"V16"	0.596865658740256
6983	"V17"	0.0330277028072986
7177	"V18"	0.00861159757119283
2298	"V19"	0.479231501959279
3373	"V20"	0.571257697487968
3284	"V21"	0.630397492756293
8029	"V22"	0.190773885681213
8671	"V23"	0.0298978381380072
2337	"V24"	0.153235466326217
889	"V25"	0.000314317471708104
489	"V26"	0.0269797263170969
3833	"V27"	0.00504047524238675
1313	"V28"	0.12126584111278
9727	"V29"	0.694595554583384
8236	"V30"	0.37564745147093
7059	"V31"	0.11687120976713
6647	"V32"	0.664690240849117
9045	"V33"	0.598939927434974
1108	"V34"	0.540538076002797
7110	"V35"	0.0716055633293451
7800	"V36"	0.128519112552424
308	"V37"	0.180698955915243
8444	"V38"	0.593003363640155
6941	"V39"	0.331481776312977
6596	"V40"	0.17534663730745
6309	"V41"	0.723352139261618
7158	"V42"	0.292418588944365
8792	"V43"	0.469189036586177
8268	"V44"	0.184676676898765
7458	"V45"	0.409388002850709
4293	"V46"	0.163119668858378
2076	"V47"	0.290198170278807
4671	"V48"	0.510515795985497
700	"V49"	0.726075690021752
2617	"V50"	0.454588827631261
6935	"V51"	0.0234542172632733
786	"V52"	0.576679496585062
1985	"V53"	0.228364563746725
9758	"V54"	0.247177954176505
4768	"V55"	0.207760328875551
7413	"V56"	0.771614356501207
7624	"V57"	0.0133691003436132
8490	"V58"	0.00990677660197516
1806	"V59"	0.615662458192539
6003	"V60"	0.0253275989705049
6574	"V61"	0.00228050916360705
7314	"V62"	0.55205351283869
130	"V63"	0.270092572817188
8314	"V64"	0.841274076185598
3915	"V65"	0.437178091474395
8609	"V66"	0.165589374318181
3314	"V67"	0.168952922834788
1798	"V68"	0.025440316869003
6613	"V69"	0.0452512719410536
3980	"V70"	0.363935308769183
5607	"V71"	0.77938287651346
368	"V72"	0.280560812160574
3047	"V73"	0.104741308515007
6304	"V74"	0.312594477755801
8679	"V75"	0.877064764082423
9250	"V76"	0.948729588262894
2406	"V77"	0.000425289171159706
