name	id	batch	treatment	line
Line102_BAFF.R1.Aligned.counts.x	1	NA	BAFF	Line102
Line102_DEX.R1.Aligned.counts.x	2	NA	DEX	Line102
Line102_IGF.R1.Aligned.counts.x	3	NA	IGF	Line102
Line104_GARD.R1.Aligned.counts.x	4	NA	GARD	Line104
Line104_IGF.R1.Aligned.counts.x	5	NA	IGF	Line104
Line104_TUNIC.R1.Aligned.counts.x	6	NA	TUNIC	Line104
Line104_WATER.R1.Aligned.counts.x	7	NA	H20	Line104
Line108_BAFF.R1.Aligned.counts	8	2	BAFF	Line108
Line108_DEX.R1.Aligned.counts	9	2	DEX	Line108
Line108_ETOH.R1.Aligned.counts	10	2	ETOH	Line108
Line108_GARD.R1.Aligned.counts	11	2	GARD	Line108
Line108_IFNg.R1.Aligned.counts	12	2	IFNG	Line108
Line108_IGF.R1.Aligned.counts	13	2	IGF	Line108
Line108_WATER.R1.Aligned.counts	14	2	H20	Line108
Line10_BAFF.R1.Aligned.counts	15	2	BAFF	Line10
Line110_BAFF.R1.Aligned.counts	16	2	BAFF	Line110
Line110_DEX.R1.Aligned.counts	17	2	DEX	Line110
Line110_ETOH.R1.Aligned.counts	18	2	ETOH	Line110
Line110_GARD.R1.Aligned.counts	19	2	GARD	Line110
Line110_IFNg.R1.Aligned.counts	20	2	IFNG	Line110
Line110_IGF.R1.Aligned.counts	21	2	IGF	Line110
Line110_TUNIC.R1.Aligned.counts	22	2	TUNIC	Line110
Line110_WATER.R1.Aligned.counts	23	2	H20	Line110
Line111_BAFF.R1.Aligned.counts.x	24	NA	BAFF	Line111
Line111_ETOH.R1.Aligned.counts.x	25	NA	ETOH	Line111
Line111_GARD.R1.Aligned.counts.x	26	NA	GARD	Line111
Line111_IFNg.R1.Aligned.counts.x	27	NA	IFNG	Line111
Line111_IGF.R1.Aligned.counts.x	28	NA	IGF	Line111
Line111_WATER.R1.Aligned.counts.x	29	NA	H20	Line111
Line116_BAFF.R1.Aligned.counts.x	30	NA	BAFF	Line116
Line116_DEX.R1.Aligned.counts.x	31	NA	DEX	Line116
Line116_ETOH.R1.Aligned.counts.x	32	NA	ETOH	Line116
Line116_GARD.R1.Aligned.counts.x	33	NA	GARD	Line116
Line116_IFNg.R1.Aligned.counts.x	34	NA	IFNG	Line116
Line116_TUNIC.R1.Aligned.counts.x	35	NA	TUNIC	Line116
Line116_WATER.R1.Aligned.counts.x	36	NA	H20	Line116
Line117_BAFF.R1.Aligned.counts	37	2	BAFF	Line117
Line117_DEX.R1.Aligned.counts	38	2	DEX	Line117
Line117_ETOH.R1.Aligned.counts	39	2	ETOH	Line117
Line117_GARD.R1.Aligned.counts	40	2	GARD	Line117
Line117_IFNg.R1.Aligned.counts	41	2	IFNG	Line117
Line117_IGF.R1.Aligned.counts	42	2	IGF	Line117
Line117_TUNIC.R1.Aligned.counts	43	2	TUNIC	Line117
Line121_BAFF.R1.Aligned.counts	44	2	BAFF	Line121
Line121_DEX.R1.Aligned.counts	45	2	DEX	Line121
Line121_ETOH.R1.Aligned.counts	46	2	ETOH	Line121
Line121_GARD.R1.Aligned.counts	47	2	GARD	Line121
Line121_TUNIC.R1.Aligned.counts	48	2	TUNIC	Line121
Line121_WATER.R1.Aligned.counts	49	2	H20	Line121
Line122_BAFF.R1.Aligned.counts	50	2	BAFF	Line122
Line122_DEX.R1.Aligned.counts	51	2	DEX	Line122
Line122_ETOH.R1.Aligned.counts	52	2	ETOH	Line122
Line122_GARD.R1.Aligned.counts	53	2	GARD	Line122
Line122_IFNg.R1.Aligned.counts	54	2	IFNG	Line122
Line122_IGF.R1.Aligned.counts	55	2	IGF	Line122
Line122_TUNIC.R1.Aligned.counts	56	2	TUNIC	Line122
Line122_WATER.R1.Aligned.counts	57	2	H20	Line122
Line124_BAFF.R1.Aligned.counts	58	2	BAFF	Line124
Line124_DEX.R1.Aligned.counts	59	2	DEX	Line124
Line124_GARD.R1.Aligned.counts	60	2	GARD	Line124
Line124_IFNg.R1.Aligned.counts	61	2	IFNG	Line124
Line124_IGF.R1.Aligned.counts	62	2	IGF	Line124
Line124_TUNIC.R1.Aligned.counts	63	2	TUNIC	Line124
Line124_WATER.R1.Aligned.counts	64	2	H20	Line124
Line125_BAFF.R1.Aligned.counts	65	2	BAFF	Line125
Line125_DEX.R1.Aligned.counts	66	2	DEX	Line125
Line125_GARD.R1.Aligned.counts	67	2	GARD	Line125
Line125_IFNg.R1.Aligned.counts	68	2	IFNG	Line125
Line125_IGF.R1.Aligned.counts	69	2	IGF	Line125
Line125_TUNIC.R1.Aligned.counts	70	2	TUNIC	Line125
Line125_WATER.R1.Aligned.counts	71	2	H20	Line125
Line126_BAFF.R1.Aligned.counts	72	2	BAFF	Line126
Line126_DEX.R1.Aligned.counts	73	2	DEX	Line126
Line126_ETOH.R1.Aligned.counts	74	2	ETOH	Line126
Line126_GARD.R1.Aligned.counts	75	2	GARD	Line126
Line126_IFNg.R1.Aligned.counts	76	2	IFNG	Line126
Line126_IGF.R1.Aligned.counts	77	2	IGF	Line126
Line126_TUNIC.R1.Aligned.counts	78	2	TUNIC	Line126
Line126_WATER.R1.Aligned.counts	79	2	H20	Line126
Line127_BAFF.R1.Aligned.counts	80	2	BAFF	Line127
Line127_DEX.R1.Aligned.counts	81	2	DEX	Line127
Line127_ETOH.R1.Aligned.counts	82	2	ETOH	Line127
Line127_GARD.R1.Aligned.counts	83	2	GARD	Line127
Line127_IFNg.R1.Aligned.counts	84	2	IFNG	Line127
Line127_IGF.R1.Aligned.counts	85	2	IGF	Line127
Line127_TUNIC.R1.Aligned.counts	86	2	TUNIC	Line127
Line127_WATER.R1.Aligned.counts	87	2	H20	Line127
Line129_BAFF.R1.Aligned.counts	88	2	BAFF	Line129
Line129_DEX.R1.Aligned.counts	89	2	DEX	Line129
Line129_ETOH.R1.Aligned.counts	90	2	ETOH	Line129
Line129_GARD.R1.Aligned.counts	91	2	GARD	Line129
Line129_IFNg.R1.Aligned.counts	92	2	IFNG	Line129
Line129_IGF.R1.Aligned.counts	93	2	IGF	Line129
Line129_WATER.R1.Aligned.counts	94	2	H20	Line129
Line12_DEX.R1.Aligned.counts.x	95	NA	DEX	Line12
Line12_FSL1.R1.Aligned.counts.x	96	NA	FSL1	Line12
Line12_TUNIC.R1.Aligned.counts.x	97	NA	TUNIC	Line12
Line130_BAFF.R1.Aligned.counts	98	2	BAFF	Line130
Line130_ETOH.R1.Aligned.counts	99	2	ETOH	Line130
Line130_GARD.R1.Aligned.counts	100	2	GARD	Line130
Line130_IFNg.R1.Aligned.counts	101	2	IFNG	Line130
Line130_IGF.R1.Aligned.counts	102	2	IGF	Line130
Line130_WATER.R1.Aligned.counts	103	2	H20	Line130
Line133_BAFF.R1.Aligned.counts	104	2	BAFF	Line133
Line133_DEX.R1.Aligned.counts	105	2	DEX	Line133
Line133_ETOH.R1.Aligned.counts	106	2	ETOH	Line133
Line133_GARD.R1.Aligned.counts	107	2	GARD	Line133
Line133_IFNg.R1.Aligned.counts	108	2	IFNG	Line133
Line133_TUNIC.R1.Aligned.counts	109	2	TUNIC	Line133
Line134_BAFF.R1.Aligned.counts	110	2	BAFF	Line134
Line134_DEX.R1.Aligned.counts	111	2	DEX	Line134
Line134_ETOH.R1.Aligned.counts	112	2	ETOH	Line134
Line134_IGF.R1.Aligned.counts	113	2	IGF	Line134
Line134_TUNIC.R1.Aligned.counts	114	2	TUNIC	Line134
Line134_WATER.R1.Aligned.counts	115	2	H20	Line134
Line135_DEX.R1.Aligned.counts	116	2	DEX	Line135
Line135_ETOH.R1.Aligned.counts	117	2	ETOH	Line135
Line135_IFNg.R1.Aligned.counts	118	2	IFNG	Line135
Line135_TUNIC.R1.Aligned.counts	119	2	TUNIC	Line135
Line135_WATER.R1.Aligned.counts	120	2	H20	Line135
Line136_DEX.R1.Aligned.counts	121	2	DEX	Line136
Line136_ETOH.R1.Aligned.counts	122	2	ETOH	Line136
Line136_GARD.R1.Aligned.counts	123	2	GARD	Line136
Line136_IFNg.R1.Aligned.counts	124	2	IFNG	Line136
Line136_IGF.R1.Aligned.counts	125	2	IGF	Line136
Line136_TUNIC.R1.Aligned.counts	126	2	TUNIC	Line136
Line136_WATER.R1.Aligned.counts	127	2	H20	Line136
Line137_BAFF.R1.Aligned.counts	128	2	BAFF	Line137
Line137_DEX.R1.Aligned.counts	129	2	DEX	Line137
Line137_ETOH.R1.Aligned.counts	130	2	ETOH	Line137
Line137_GARD.R1.Aligned.counts	131	2	GARD	Line137
Line137_IFNg.R1.Aligned.counts	132	2	IFNG	Line137
Line137_IGF.R1.Aligned.counts	133	2	IGF	Line137
Line137_TUNIC.R1.Aligned.counts	134	2	TUNIC	Line137
Line137_WATER.R1.Aligned.counts	135	2	H20	Line137
Line144_DEX.R1.Aligned.counts	136	2	DEX	Line144
Line144_ETOH.R1.Aligned.counts	137	2	ETOH	Line144
Line144_GARD.R1.Aligned.counts	138	2	GARD	Line144
Line144_IFNg.R1.Aligned.counts	139	2	IFNG	Line144
Line144_IGF.R1.Aligned.counts	140	2	IGF	Line144
Line144_WATER.R1.Aligned.counts	141	2	H20	Line144
Line147_BAFF.R1.Aligned.counts.x	142	NA	BAFF	Line147
Line147_DEX.R1.Aligned.counts.x	143	NA	DEX	Line147
Line147_ETOH.R1.Aligned.counts.x	144	NA	ETOH	Line147
Line147_GARD.R1.Aligned.counts.x	145	NA	GARD	Line147
Line147_IFNg.R1.Aligned.counts.x	146	NA	IFNG	Line147
Line147_IGF.R1.Aligned.counts.x	147	NA	IGF	Line147
Line147_TUNIC.R1.Aligned.counts.x	148	NA	TUNIC	Line147
Line147_WATER.R1.Aligned.counts.x	149	NA	H20	Line147
Line149_DEX.R1.Aligned.counts	150	2	DEX	Line149
Line149_ETOH.R1.Aligned.counts	151	2	ETOH	Line149
Line149_GARD.R1.Aligned.counts	152	2	GARD	Line149
Line149_IFNg.R1.Aligned.counts	153	2	IFNG	Line149
Line149_IGF.R1.Aligned.counts	154	2	IGF	Line149
Line149_TUNIC.R1.Aligned.counts	155	2	TUNIC	Line149
Line14_DEX.R1.Aligned.counts	156	2	DEX	Line14
Line14_ETOH.R1.Aligned.counts	157	2	ETOH	Line14
Line14_IFNg.R1.Aligned.counts	158	2	IFNG	Line14
Line14_WATER.R1.Aligned.counts	159	2	H20	Line14
Line151_BAFF.R1.Aligned.counts	160	2	BAFF	Line151
Line151_DEX.R1.Aligned.counts	161	2	DEX	Line151
Line151_IFNg.R1.Aligned.counts	162	2	IFNG	Line151
Line152_BAFF.R1.Aligned.counts	163	2	BAFF	Line152
Line152_DEX.R1.Aligned.counts	164	2	DEX	Line152
Line152_ETOH.R1.Aligned.counts	165	2	ETOH	Line152
Line152_GARD.R1.Aligned.counts	166	2	GARD	Line152
Line152_IFNg.R1.Aligned.counts	167	2	IFNG	Line152
Line154_BAFF.R1.Aligned.counts	168	2	BAFF	Line154
Line154_DEX.R1.Aligned.counts	169	2	DEX	Line154
Line154_GARD.R1.Aligned.counts	170	2	GARD	Line154
Line154_TUNIC.R1.Aligned.counts	171	2	TUNIC	Line154
Line155_DEX.R1.Aligned.counts	172	2	DEX	Line155
Line155_ETOH.R1.Aligned.counts	173	2	ETOH	Line155
Line155_GARD.R1.Aligned.counts	174	2	GARD	Line155
Line155_IFNg.R1.Aligned.counts	175	2	IFNG	Line155
Line155_IGF.R1.Aligned.counts	176	2	IGF	Line155
Line156_BAFF.R1.Aligned.counts	177	2	BAFF	Line156
Line156_DEX.R1.Aligned.counts	178	2	DEX	Line156
Line156_IFNg.R1.Aligned.counts	179	2	IFNG	Line156
Line156_IGF.R1.Aligned.counts	180	2	IGF	Line156
Line156_WATER.R1.Aligned.counts	181	2	H20	Line156
Line15_ETOH.R1.Aligned.counts	182	2	ETOH	Line15
Line163_BAFF.R1.Aligned.counts	183	2	BAFF	Line163
Line163_DEX.R1.Aligned.counts	184	2	DEX	Line163
Line163_IFNg.R1.Aligned.counts	185	2	IFNG	Line163
Line163_IGF.R1.Aligned.counts	186	2	IGF	Line163
Line163_TUNIC.R1.Aligned.counts	187	2	TUNIC	Line163
