Name	Number	ID	Date	Name2
GM07000	1	GM07000_REP1	rec 10-Apr-18	7000
GM12003	2	GM12003_REP2	rec 10-Apr-18	12003
HG00130	3	HG00130_REP3	rec 10-Apr-18	130
HG00155	4	HG00155_REP4	rec 10-Apr-18	155
HG00290	5	HG00290_REP5	rec 10-Apr-18	290
HG00304	6	HG00304_REP6	rec 10-Apr-18	304
HG00321	7	HG00321_REP7	rec 10-Apr-18	321
HG00351	8	HG00351_REP8	rec 10-Apr-18	351
HG00379	9	HG00379_REP9	rec 10-Apr-18	379
HG01633	10	HG01633_REP10	rec 10-Apr-18	1633
HG01776	11	HG01776_REP11	rec 10-Apr-18	1776
HG02466	12	HG02466_REP12	rec 10-Apr-18	2466
HG02625	13	HG02625_REP13	rec 10-Apr-18	2625
HG02642	14	HG02642_REP14	rec 10-Apr-18	2642
HG02771	15	HG02771_REP15	rec 10-Apr-18	2771
HG02852	16	HG02852_REP16	rec 10-Apr-18	2852
HG02969	17	HG02969_REP17	rec 10-Apr-18	2969
HG03050	18	HG03050_REP18	rec 10-Apr-18	3050
HG03078	19	HG03078_REP19	rec 10-Apr-18	3078
HG03098	20	HG03098_REP20	rec 10-Apr-18	3098
HG03111	21	HG03111_REP21	rec 10-Apr-18	3111
HG03137	22	HG03137_REP22	rec 10-Apr-18	3137
HG03306	23	HG03306_REP23	rec 10-Apr-18	3306
HG03354	24	HG03354_REP24	rec 10-Apr-18	3354
HG03451	25	HG03451_REP25	rec 10-Apr-18	3451
GM12400	26	GM12400_REP26	rec 11-Apr-18	12400
GM18881	27	GM18881_REP27	rec 11-Apr-18	18881
GM19036	28	GM19036_REP28	rec 11-Apr-18	19036
GM19097	29	GM19097_REP29	rec 11-Apr-18	19097
GM19118	30	GM19118_REP30	rec 11-Apr-18	19118
GM19145	31	GM19145_REP31	rec 11-Apr-18	19145
GM19159	32	GM19159_REP32	rec 11-Apr-18	19159
GM19307	33	GM19307_REP33	rec 11-Apr-18	19307
GM19321	34	GM19321_REP34	rec 11-Apr-18	19321
GM19451	35	GM19451_REP35	rec 11-Apr-18	19451
GM20529	36	GM20529_REP36	rec 11-Apr-18	20529
GM20534	37	GM20534_REP37	rec 11-Apr-18	20534
GM20797	38	GM20797_REP38	rec 11-Apr-18	20797
GM20799	39	GM20799_REP39	rec 11-Apr-18	20799
GM20806	40	GM20806_REP40	rec 11-Apr-18	20806
GM20810	41	GM20810_REP41	rec 11-Apr-18	20810
GM20831	42	GM20831_REP42	rec 11-Apr-18	20831
HG00116	43	HG00116_REP43	rec 11-Apr-18	116
HG00238	44	HG00238_REP44	rec 11-Apr-18	238
HG00264	45	HG00264_REP45	rec 11-Apr-18	264
HG03493	46	HG03493_REP46	rec 11-Apr-18	3493
HG03510	47	HG03510_REP47	rec 11-Apr-18	3510
HG03563	48	HG03563_REP48	rec 11-Apr-18	3563
HG03567	49	HG03567_REP49	rec 11-Apr-18	3567
HG03584	50	HG03584_REP50	rec 11-Apr-18	3584
GM06989	51	GM06989_REP51	rec 24-Apr-18	6989
GM12156	52	GM12156_REP52	rec 24-Apr-18	12156
HG00111	53	HG00111_REP53	rec 24-Apr-18	111
HG00135	54	HG00135_REP54	rec 24-Apr-18	135
HG00140	55	HG00140_REP55	rec 24-Apr-18	140
HG00154	56	HG00154_REP56	rec 24-Apr-18	154
HG00179	57	HG00179_REP57	rec 24-Apr-18	179
HG00232	58	HG00232_REP58	rec 24-Apr-18	232
HG00240	59	HG00240_REP59	rec 24-Apr-18	240
HG00260	60	HG00260_REP60	rec 24-Apr-18	260
HG00281	61	HG00281_REP61	rec 24-Apr-18	281
HG00369	62	HG00369_REP62	rec 24-Apr-18	369
HG01512	63	HG01512_REP63	rec 24-Apr-18	1512
HG01536	64	HG01536_REP64	rec 24-Apr-18	1536
HG01706	65	HG01706_REP65	rec 24-Apr-18	1706
HG01770	66	HG01770_REP66	rec 24-Apr-18	1770
HG01781	67	HG01781_REP67	rec 24-Apr-18	1781
HG02219	68	HG02219_REP68	rec 24-Apr-18	2219
HG02563	69	HG02563_REP69	rec 24-Apr-18	2563
HG02572	70	HG02572_REP70	rec 24-Apr-18	2572
HG02762	71	HG02762_REP71	rec 24-Apr-18	2762
HG02809	72	HG02809_REP72	rec 24-Apr-18	2809
HG02879	73	HG02879_REP73	rec 24-Apr-18	2879
HG02947	74	HG02947_REP74	rec 24-Apr-18	2947
HG03173	75	HG03173_REP75	rec 24-Apr-18	3173
GM12752	76	GM12752_REP76	rec 25-Apr-18	12752
GM12814	77	GM12814_REP77	rec 25-Apr-18	12814
GM18484	78	GM18484_REP78	rec 25-Apr-18	18484
GM18516	79	GM18516_REP79	rec 25-Apr-18	18516
GM19023	80	GM19023_REP80	rec 25-Apr-18	19023
GM19026	81	GM19026_REP81	rec 25-Apr-18	19026
GM19031	82	GM19031_REP82	rec 25-Apr-18	19031
