Family.ID	Individual.ID	LCL Catalog ID in Coriell system	Paternal.ID	Maternal.ID	Gender	Phenotype	Population	Relationship	Siblings	Second.Order	Third.Order	Other.Comments	id	batch
NG79	HG03312	HG03312	0	0	2	0	ESN	mother	0	0	0	0	601	extra
NA19037	NA19037	GM19037	0	0	2	0	LWK	unrel	0	0	0	0	602	extra
HG03558	HG03558	HG03558	0	0	2	0	MSL	unrel	0	0	0	0	603	extra
HG00109	HG00109	HG00109	0	0	1	0	GBR	unrel	0	0	0	0	604	extra
SL23	HG03225	HG03225	0	0	1	0	MSL	father	0	0	0	0	605	extra
GB22	HG02574	HG02574	0	0	2	0	GWD	mother	0	0	0	0	606	extra
IBS006	HG01516	HG01516	0	0	2	0	IBS	mother	0	0	0	0	607	extra
1358	GM12717	GM12717	0	0	2	0	CEU	pat grandmother	0	0	0	0	608	extra
SL29	HG03391	HG03391	0	0	1	0	MSL	father	0	0	0	0	609	extra
NA20508	NA20508	GM20508	0	0	2	0	TSI	unrel	0	0	0	0	610	extra
1424	GM11930	GM11930	0	0	1	0	CEU	pat grandfather	0	0	0	0	611	extra
NA19403	NA19403	GM19403	0	0	2	0	LWK	unrel	0	0	0	0	612	extra
GB33	HG02630	HG02630	HG02628	HG02629	2	0	GWD	child	0	0	0	0	613	extra
IBS051	HG01776	HG01776	0	0	2	0	IBS	mother	0	0	0	0	1	1
NA20797	NA20797	GM20797	0	0	2	0	TSI	unrel	0	0	0	0	13	1
SL50	HG03451	HG03451	HG03466	0	1	0	MSL	father	HG03468	0	0	0	25	1
Y041	NA19097	GM19097	NA19096	NA19095	2	0	YRI	child	0	0	0	0	37	1
IBS014	HG01633	HG01633	HG01631	HG01632	1	0	IBS	child	0	0	0	0	49	1
HG00264	HG00264	HG00264	0	0	1	0	GBR	unrel	0	0	0	0	61	1
1354	GM12400	GM12400	0	0	2	0	CEU	mat grandmother	0	0	0	0	73	1
SL73	HG03584	HG03584	HG03582	HG03583	2	0	MSL	child	0	0	0	0	85	1
NA19036	NA19036	GM19036	0	0	2	0	LWK	unrel	0	0	0	0	97	1
1340	GM07000	GM07000	0	0	2	0	CEU	pat grandmother	0	0	0	0	109	1
NG105	HG03510	HG03510	0	HG03508	2	0	ESN	child	0	0	0	0	121	1
GBR001	HG00155	HG00155	0	HG00144	1	0	GBR	Child	0	0	0	0	133	1
NA20529	NA20529	GM20529	0	0	2	0	TSI	unrel	0	0	0	0	145	1
NA20810	NA20810	GM20810	0	0	1	0	TSI	unrel	0	0	0	0	157	1
NG77	HG03306	HG03306	0	0	2	0	ESN	mother	0	0	0	0	169	1
HG00351	HG00351	HG00351	0	0	1	0	FIN	unrel	0	0	0	0	181	1
NA19321	NA19321	GM19321	0	0	2	0	LWK	unrel	0	0	0	0	193	1
SL16	HG03098	HG03098	HG03096	HG03097	1	0	MSL	child	0	0	0	0	205	1
HG03567	HG03567	HG03567	0	0	2	0	MSL	unrel	0	0	0	0	217	1
HG00238	HG00238	HG00238	0	0	2	0	GBR	unrel	0	0	0	0	229	1
GB32	HG02625	HG02625	HG02623	HG02624	1	0	GWD	child	0	0	0	0	241	1
Y100	NA19118	GM19118	0	0	2	0	YRI	mother	0	0	0	0	253	1
HG00321	HG00321	HG00321	0	0	1	0	FIN	unrel	0	0	0	0	265	1
HG00116	HG00116	HG00116	0	0	1	0	GBR	unrel	0	0	0	0	277	1
NA20534	NA20534	GM20534	0	0	1	0	TSI	unrel	0	0	0	0	289	1
NG30	HG03111	HG03111	0	0	2	0	ESN	mother	0	0	0	0	301	1
HG00304	HG00304	HG00304	0	0	2	0	FIN	unrel	0	0	0	0	313	1
HG00130	HG00130	HG00130	0	0	2	0	GBR	unrel	0	0	0	0	325	1
NA20799	NA20799	GM20799	0	0	2	0	TSI	unrel	0	0	0	0	337	1
1420	GM12003	GM12003	0	0	1	0	CEU	pat grandfather	0	0	0	0	349	1
Y074	NA19145	GM19145	NA19144	NA19143	1	0	YRI	child	0	0	0	0	361	1
GB113	HG03050	HG03050	HG03048	HG03049	1	0	GWD	child	0	0	0	0	373	1
GB58	HG02771	HG02771	0	0	1	0	GWD	father	0	0	0	0	385	1
HG00290	HG00290	HG00290	0	0	1	0	FIN	unrel	0	0	0	0	397	1
NA19451	NA19451	GM19451	0	0	1	0	LWK	unrel	0	0	0	0	409	1
NG21	HG02969	HG02969	HG02968	0	2	0	ESN	child	0	0	0	0	421	1
GB37	HG02642	HG02642	0	0	1	0	GWD	father	0	0	0	0	433	1
GB78	HG02852	HG02852	0	0	2	0	GWD	mother	0	0	0	0	445	1
NA20806	NA20806	GM20806	0	0	1	0	TSI	unrel	0	0	0	0	457	1
NG100	HG03493	HG03493	0	0	2	0	ESN	mother	0	0	0	0	469	1
NA20831	NA20831	GM20831	0	0	1	0	TSI	unrel	0	0	0	0	481	1
Y022	NA18881	GM18881	0	0	2	0	YRI	mother	0	0	0	0	493	1
NG93	HG03354	HG03354	0	0	2	0	ESN	mother	0	0	0	0	505	1
SL67	HG03563	HG03563	0	0	2	0	MSL	mother	0	0	0	0	517	1
HG00379	HG00379	HG00379	0	0	2	0	FIN	unrel	0	0	0	0	529	1
GB16	HG02466	HG02466	HG02464	HG02465	1	0	GWD	child	0	0	0	0	541	1
HG03078	HG03078	HG03078	0	0	1	0	MSL	unrel	0	0	0	0	553	1
NA19307	NA19307	GM19307	0	0	1	0	LWK	unrel	0	0	0	0	565	1
Y056	NA19159	GM19159	0	0	2	0	YRI	mother	0	0	0	0	577	1
NG38	HG03137	HG03137	HG03136	HG03135	1	0	ESN	child	0	0	0	0	589	1
1454	GM12814	GM12814	0	0	1	0	CEU	mat grandfather	0	0	0	0	2	2
HG00240	HG00240	HG00240	0	0	2	0	GBR	unrel	0	0	0	0	14	2
NA20521	NA20521	GM20521	0	0	1	0	TSI	unrel	0	0	0	0	26	2
NA20829	NA20829	GM20829	0	0	1	0	TSI	unrel	0	0	0	0	38	2
GB55	HG02762	HG02762	0	0	1	0	GWD	father	0	0	0	0	50	2
Y025	NA19252	GM19252	0	NA18907	1	0	YRI	child	0	0	0	0	62	2
NA19026	NA19026	GM19026	0	0	1	0	LWK	unrel	0	0	0	0	74	2
Y001	NA18484	GM18484	NA18486	NA18488	2	0	YRI	child	0	0	0	0	86	2
IBS055	HG02219	HG02219	0	0	1	0	IBS	father	0	0	0	0	98	2
HG00369	HG00369	HG00369	0	0	1	0	FIN	unrel	0	0	0	0	110	2
