logFC	P.Value	gene	SE
0.151688471834005	0.0746768185804578	ENSG00000000419	0.0847151506536184
-0.0242734690176664	0.877846788772163	ENSG00000000457	0.158328923968332
-0.437217574304866	0.00650244820726549	ENSG00000000460	0.160357687208165
-0.0769773688133106	0.517780118915121	ENSG00000000938	0.1191012060265
0.118014176648817	0.362539454684223	ENSG00000001036	0.129742550548212
0.0695856679354052	0.630239352752867	ENSG00000001084	0.144841191171645
-0.205405384889433	0.14534846409338	ENSG00000001167	0.141161356061052
0.0125796073296395	0.934370685833123	ENSG00000001461	0.153130317537889
-0.0927867198633831	0.25096135840082	ENSG00000001497	0.0804853155830806
0.0777539511610593	0.587078811095385	ENSG00000001561	0.14344815973293
0.00740179614262071	0.934972489212345	ENSG00000001629	0.0905632867849034
0.143940031169409	0.343074943479516	ENSG00000001630	0.152095980665228
-0.0821006734425897	0.544680948695741	ENSG00000001631	0.135749337249845
0.035453943420735	0.832387473065132	ENSG00000002016	0.167981511702025
-0.101773504049503	0.451029006160932	ENSG00000002330	0.135225124138528
0.112747539833736	0.0683932216904864	ENSG00000002549	0.0611785791675283
0.0584265037623604	0.543114192840452	ENSG00000002586	0.0959588047756735
0.270438553596483	0.227588579680444	ENSG00000002586	0.224742500534019
0.106100194497695	0.594781367771091	ENSG00000002586	0.200096757690334
0.318112244331818	0.350202612064653	ENSG00000002586	0.341766473031545
-0.351114261318586	0.26032891414884	ENSG00000002586	0.312971292832351
0.123852362204729	0.301488305683514	ENSG00000002822	0.119909496813292
-0.295976266552025	0.0223226079514934	ENSG00000002834	0.129323541334256
-0.033511202181318	0.736901009430657	ENSG00000002919	0.0996797255138009
-0.132593174571628	0.442864830646624	ENSG00000003056	0.173228537766068
-0.0361533165369324	0.856419293968219	ENSG00000003249	0.20047775969183
0.329699401962796	0.0524947962059232	ENSG00000003393	0.170122495302346
0.327964685796308	0.0548322953670113	ENSG00000003400	0.170899102877162
0.141776495972214	0.0303621538620819	ENSG00000003402	0.064788347023253
0.354186448292881	0.0239965921892446	ENSG00000003509	0.156821844313775
0.103272290035311	0.114797988382937	ENSG00000003756	0.0648890771570776
-0.450207018123577	0.00497588042174236	ENSG00000004059	0.159941369197163
0.0639789699569303	0.205968175304172	ENSG00000004142	0.049729812067808
0.0601619049545154	0.220729651362178	ENSG00000004455	0.0482370135978022
0.51752335526063	0.00167483481995432	ENSG00000004468	0.164135507986717
0.0644919027718626	0.411791661448546	ENSG00000004478	0.0782430592644697
0.0321520508551376	0.671624558298234	ENSG00000004487	0.0754977796585848
0.0806984157807727	0.31294341667155	ENSG00000004534	0.0796398824796982
-0.0741958356464793	0.697430262579727	ENSG00000004700	0.191432277640479
0.212978056119464	0.164406061023579	ENSG00000004766	0.153366282029374
-0.0768245115053852	0.595215663957755	ENSG00000004777	0.144884603190177
-0.0904329126148474	0.0694665096044116	ENSG00000004779	0.0488857120191472
-0.0465520606765137	0.72946848707808	ENSG00000004864	0.134835989668077
-0.15060796419471	0.107391241382181	ENSG00000004866	0.0932697482719522
-0.0647100932685052	0.390172539969113	ENSG00000004897	0.074924859927903
0.0465785866038708	0.605087682386767	ENSG00000004961	0.0898995719939492
-0.137562597074808	0.269798567891162	ENSG00000004975	0.124724087464174
0.0129499898075972	0.873756404963826	ENSG00000005007	0.0812382709849199
-0.0639705202265604	0.538921345388181	ENSG00000005020	0.104068334081928
-0.0839915725296208	0.113349441143687	ENSG00000005022	0.0522190071084306
-0.0612766713326085	0.533210273129325	ENSG00000005059	0.0982410860841784
0.270190951633122	0.000742178546466011	ENSG00000005075	0.079249088286536
-0.00683087905404812	0.918367426200022	ENSG00000005100	0.0661709022909046
0.0139567802166338	0.924675761300038	ENSG00000005156	0.147950703172375
-0.193645869202259	0.107725120557341	ENSG00000005175	0.120323041105071
0.0760047518233292	0.675218556673127	ENSG00000005187	0.18193236072574
-0.17255752158811	0.247511338926819	ENSG00000005189	0.149438527016779
0.0712683737530707	0.506327115837414	ENSG00000005194	0.10722180206112
-0.218477868066096	0.0459312958328767	ENSG00000005206	0.109219766814534
0.256212899430684	0.124620581285985	ENSG00000005238	0.167062834002277
-0.0203205679783101	0.817474389214001	ENSG00000005302	0.0878578175896799
0.0945731603507556	0.217870577406622	ENSG00000005339	0.0763528814872066
-0.199874278386044	0.22259568899942	ENSG00000005379	0.16417106895202
0.0786663250642058	0.429450690328611	ENSG00000005436	0.0994600008359373
-0.0287074703535775	0.736912397416391	ENSG00000005448	0.0852313397430332
0.0366564827092053	0.801839059064757	ENSG00000005469	0.146375826100135
-0.0449932883669266	0.797556277448811	ENSG00000005471	0.175914984285773
-0.0576284661833785	0.490386862769617	ENSG00000005483	0.0832936942600121
-0.0242966022831007	0.825634573582683	ENSG00000005486	0.110321866583458
0.105893998679187	0.287340573045545	ENSG00000005700	0.0993945203387116
0.0517189231975902	0.581871641081331	ENSG00000005801	0.0937846998550613
0.109592480761783	0.04572038014279	ENSG00000005810	0.0540114114539543
-0.0479642170697029	0.668371224158644	ENSG00000005812	0.112006006847861
-0.116777999069446	0.13032140171478	ENSG00000005844	0.0767624257404154
0.264161808234273	0.13519418129017	ENSG00000005884	0.177108086424765
0.156120949520078	0.262074449473994	ENSG00000005889	0.1393712124856
0.0276311781254979	0.766201059610519	ENSG00000005893	0.0927890774291657
0.210664266240102	0.0236644184420611	ENSG00000006007	0.0926875272466291
0.070086651207643	0.490265996381909	ENSG00000006015	0.101519151070475
-0.0509666942702281	0.71831205011114	ENSG00000006025	0.141568700062807
0.102330247726918	0.522173387279219	ENSG00000006062	0.160267359807277
0.00684238440140918	0.968358800904557	ENSG00000006118	0.172995122149942
-0.0652516573714305	0.488613766926746	ENSG00000006125	0.0940788412629902
-0.0393833041700582	0.755068443090942	ENSG00000006194	0.126408442588373
0.660833798600831	8.46694648051108e-05	ENSG00000006282	0.166999645555035
0.279135531718357	0.0566887157513137	ENSG00000006432	0.146471771783502
-0.00764837250303027	0.931592951779501	ENSG00000006451	0.0889256195876729
0.259767896268282	0.153585321433722	ENSG00000006453	0.182372105866209
0.0697965755337156	0.538130878579459	ENSG00000006530	0.113411280826353
-0.133014846400874	0.127148578413675	ENSG00000006576	0.086877460216391
-0.104322189421169	0.351880082072158	ENSG00000006607	0.112054577717931
0.0909800703667748	0.315695719216091	ENSG00000006625	0.0904650070336777
-0.258965612868372	0.00244170790562513	ENSG00000006634	0.0847554890182399
-0.00582609562719222	0.956314045902707	ENSG00000006652	0.106357469554536
