logFC	P.Value	gene	SE
0.00900242624304275	0.893343810201786	ENSG00000000419	0.0667643241788399
0.174977951222103	0.268057740060217	ENSG00000000457	0.158265773873351
-0.16836153932759	0.329536307876686	ENSG00000000460	0.173053091757679
-0.0589107733262549	0.614741787315523	ENSG00000000938	0.117146750525702
-0.0955731644184993	0.421126564261546	ENSG00000001036	0.118889689935003
-0.3471142145391	0.00539044636741243	ENSG00000001084	0.124343671321483
-0.154875091834081	0.298425185769723	ENSG00000001167	0.149186889809598
0.0853955955806149	0.538417412361452	ENSG00000001461	0.139048768424249
-0.0398448682926781	0.623562986518834	ENSG00000001497	0.0809670038520469
-0.197941795484774	0.194711929987627	ENSG00000001561	0.152851561796722
0.0253274441198912	0.781552710514605	ENSG00000001629	0.0912342811950774
0.0479902662186601	0.764255127488641	ENSG00000001630	0.160419128667464
0.121621379056453	0.375298475634544	ENSG00000001631	0.137376075705992
0.270604200969764	0.0620283089841913	ENSG00000002016	0.14502516257999
-0.00778312931578639	0.95177590255558	ENSG00000002330	0.128899422939103
0.0158908447897748	0.78028007415097	ENSG00000002549	0.056418873668681
0.00613818632454642	0.947496252862603	ENSG00000002586	0.0931318678983169
0.38554531354242	0.0770114955167204	ENSG00000002586	0.218357716563064
-0.0564365279854403	0.777711023920436	ENSG00000002586	0.20053703264424
0.322970599232434	0.336742282336544	ENSG00000002586	0.337332072577944
-0.359948795857099	0.239247935232424	ENSG00000002586	0.30676529900994
-0.0397740253346668	0.725763296266422	ENSG00000002822	0.113474531125018
0.0331671016819148	0.779417751923055	ENSG00000002834	0.118544930382206
0.0902957194821238	0.352060122887105	ENSG00000002919	0.0969341771702401
-0.0334011247752779	0.822197431039289	ENSG00000003056	0.148965705209451
-0.0795710918824924	0.68691247559094	ENSG00000003249	0.198022521059903
0.247398417438167	0.123445339408654	ENSG00000003393	0.160783016155834
0.172804518895743	0.250016954697279	ENSG00000003400	0.150452522629257
0.137592163865625	0.0295973996982387	ENSG00000003402	0.0626313876082345
0.142533334184365	0.356897537817276	ENSG00000003509	0.155005783977585
-0.0185893943951864	0.769216596890603	ENSG00000003756	0.0629188274988674
-0.23369997874318	0.119213194735667	ENSG00000004059	0.150120693046373
