logFC	P.Value	gene	SE
-0.0639678583375085	0.431015348775551	ENSG00000000419	0.0808845778117699
0.175336110384636	0.273608117302588	ENSG00000000457	0.16046881492843
-0.554604376259103	0.00177073686277255	ENSG00000000460	0.176871369107788
-0.12865546289402	0.247673783573551	ENSG00000000938	0.111227548035761
-0.0162094660346045	0.907026871673744	ENSG00000001036	0.139062580842132
-0.00630405580571717	0.964656131939333	ENSG00000001084	0.14256605575977
-0.168787467490788	0.219484894072236	ENSG00000001167	0.137590693858732
0.215986568249281	0.126441462944467	ENSG00000001461	0.141409977479029
0.150658562542957	0.0740215929976923	ENSG00000001497	0.0838874021936168
0.136352481515063	0.342289378258723	ENSG00000001561	0.143809720011381
-0.0872581047003902	0.411727148266979	ENSG00000001629	0.106235551467278
-0.0145529988984688	0.924653999766813	ENSG00000001630	0.154268757978983
-0.00721302669788898	0.957311537376243	ENSG00000001631	0.134991898229574
0.248846699748279	0.127622031227769	ENSG00000002016	0.163553073251026
0.0537603223373054	0.683169300386921	ENSG00000002330	0.131919304675681
0.154488965454332	0.0237006096312364	ENSG00000002549	0.0675566151358988
-0.109607377243916	0.227649026146273	ENSG00000002586	0.090576566208539
0.101918682148323	0.643422336751954	ENSG00000002586	0.220969999607444
-0.148433370132907	0.460219479333645	ENSG00000002586	0.201641358290841
0.0630926892593326	0.85299495950027	ENSG00000002586	0.342014697304616
-0.141172490887548	0.657801802672723	ENSG00000002586	0.320079534111689
-0.131620854019703	0.226428268585384	ENSG00000002822	0.108717110846124
-0.092784313888451	0.498194194909916	ENSG00000002834	0.137202023986443
0.0491440402007933	0.622432778897722	ENSG00000002919	0.0996998302479766
0.089273720352666	0.617825846782383	ENSG00000003056	0.179467917931018
0.396636058968818	0.0375100156284928	ENSG00000003249	0.19080204967434
0.128916358555576	0.407248571137685	ENSG00000003393	0.155889795509784
0.13122709431263	0.434408564700317	ENSG00000003400	0.168306144416123
0.192766636320557	0.00935643858866347	ENSG00000003402	0.073437037226263
0.124580920252062	0.421650242489615	ENSG00000003509	0.155370033860504
-0.0194324757704312	0.786179702324656	ENSG00000003756	0.0711675089546311
-0.0435947994741237	0.788936263149295	ENSG00000004059	0.163301217773929
-0.0369687544500591	0.528253919600052	ENSG00000004142	0.0578896943697392
-0.0673167274737742	0.216006886613723	ENSG00000004455	0.053542823656809
0.295217432201924	0.0424789710368478	ENSG00000004468	0.145461249847984
0.114822160871337	0.155565770669656	ENSG00000004478	0.0804266836149067
-0.0474830101720243	0.533547876310409	ENSG00000004487	0.075857481023455
-0.133977590215337	0.120087459794661	ENSG00000004534	0.0858098955436622
-0.0389005892199241	0.833118256985043	ENSG00000004700	0.185222423181852
-0.249656359140365	0.0832174419447247	ENSG00000004766	0.144158719651699
0.302701966918565	0.0305766004409785	ENSG00000004777	0.139844170170075
-0.00180326670992755	0.974473970963006	ENSG00000004779	0.0555905709147286
0.145915225260522	0.253009250968151	ENSG00000004864	0.127725844333678
-0.0892858696549616	0.437240278925749	ENSG00000004866	0.114952119440091
0.0416432680705902	0.597819576410229	ENSG00000004897	0.0785750492332066
0.0156317979089688	0.879653207697075	ENSG00000004961	0.103188761866128
-0.0968288729608761	0.424498647436367	ENSG00000004975	0.121315900568914
