Treatment_logFC	Ancestry_logFC	P.Value	gene	SE
-0.072204452	0.054533583	0.302109108	ENSG00000000419	0.058576726
0.138774482	0.035733661	0.448714048	ENSG00000000457	0.113135624
0.25130623	-0.431897712	0.000166238	ENSG00000000460	0.119768238
-0.047419017	-0.00629297	0.845294635	ENSG00000000938	0.082483409
-0.103833665	0.008318217	0.510307069	ENSG00000001036	0.089911341
0.065344512	-0.012373433	0.809820364	ENSG00000001084	0.102656901
-0.050634989	-0.160652146	0.194960731	ENSG00000001167	0.093007772
0.167223756	0.081767486	0.250403949	ENSG00000001461	0.111642417
0.019611518	-0.134027973	0.062668498	ENSG00000001497	0.057458112
-0.138108684	-0.028079156	0.352942196	ENSG00000001561	0.097585796
-0.070951053	-0.000407093	0.513816097	ENSG00000001629	0.061406199
-0.135668711	-0.063483302	0.381310978	ENSG00000001630	0.107686697
-0.170646828	-0.039824248	0.207028498	ENSG00000001631	0.098622403
0.14085549	-0.0137809	0.460139806	ENSG00000002016	0.113802592
0.002574744	-0.090196982	0.605200747	ENSG00000002330	0.090151717
0.047908674	0.08918035	0.074354937	ENSG00000002549	0.044037263
-0.095682383	0.129101485	0.052325844	ENSG00000002586	0.066253067
-0.241926238	0.258327459	0.067120154	ENSG00000002586	0.152907141
-0.153308214	0.119494751	0.365306403	ENSG00000002586	0.137638498
-0.299552069	0.248720725	0.245399973	ENSG00000002586	0.233483518
0.175173406	-0.191873578	0.485949714	ENSG00000002586	0.217481583
0.174700696	0.034936965	0.104855895	ENSG00000002822	0.083732695
-0.010179944	-0.116261664	0.423722621	ENSG00000002834	0.089076015
0.451077942	-0.044679	3.86E-09	ENSG00000002919	0.072056755
0.012200137	-0.170619846	0.344012986	ENSG00000003056	0.117314931
-0.060492747	0.212464685	0.289112278	ENSG00000003249	0.140704616
-0.029969726	0.222616044	0.153797073	ENSG00000003393	0.116298881
0.156996384	0.253913034	0.035218617	ENSG00000003400	0.115028499
0.317256615	0.033067382	2.26E-10	ENSG00000003402	0.047050044
-0.089005278	0.150406401	0.289844716	ENSG00000003509	0.111516015
0.0156507	0.05181709	0.55981634	ENSG00000003756	0.050022865
0.058355812	-0.408051054	0.001219312	ENSG00000004059	0.112411923
0.01165853	0.055003516	0.286665047	ENSG00000004142	0.035225523
0.037056983	0.044094439	0.259232754	ENSG00000004455	0.034625451
0.160653892	0.413533365	0.000542929	ENSG00000004468	0.11385281
-0.007301753	0.098194391	0.251010141	ENSG00000004478	0.0591587
-0.15739887	-0.030003596	0.004971752	ENSG00000004487	0.048843152
-0.017485685	-0.055566229	0.568913844	ENSG00000004534	0.054640184
0.345284996	-0.064737779	0.020856737	ENSG00000004700	0.126379885
-0.060507718	0.058339269	0.732572882	ENSG00000004766	0.107074196
-0.252894894	-0.037194631	0.04150961	ENSG00000004777	0.101178592
-0.101086589	-0.013558803	0.012544575	ENSG00000004779	0.034053277
0.028563521	0.018865978	0.932272796	ENSG00000004864	0.091211973
-0.011800216	-0.091462815	0.398062829	ENSG00000004866	0.067855895
-0.055528708	-0.036908801	0.466079386	ENSG00000004897	0.053666203
-0.116070387	-0.044515709	0.144633963	ENSG00000004961	0.06295834
-0.052483517	-0.089824615	0.465559257	ENSG00000004975	0.083925152
-0.052673233	-0.069620177	0.335922082	ENSG00000005007	0.058812265
-0.105768682	-0.002745181	0.275393294	ENSG00000005020	0.065796781
-0.038654957	-0.116594296	0.006901278	ENSG00000005022	0.038516737
-0.054192815	-0.054290732	0.524017561	ENSG00000005059	0.067206863
0.040220691	0.095085827	0.221383576	ENSG00000005075	0.059201923
0.18348396	-0.010617496	0.000432214	ENSG00000005100	0.046341319
0.13442392	0.015088513	0.420644972	ENSG00000005156	0.102799893
0.11944661	-0.123474662	0.115157192	ENSG00000005175	0.082888035
-0.080398245	0.092420216	0.613103714	ENSG00000005187	0.124482215
-0.029802369	-0.016860653	0.948836809	ENSG00000005189	0.105495757
0.060796484	0.002198825	0.704743412	ENSG00000005194	0.072701658
0.09947087	-0.162963381	0.079142815	ENSG00000005206	0.084996848
-0.190886309	0.219822072	0.050684993	ENSG00000005238	0.11964685
-0.015495975	0.002499233	0.966832	ENSG00000005302	0.060442682
0.161685471	0.117172789	0.004967357	ENSG00000005339	0.060861612
0.004971384	-0.092857122	0.72637146	ENSG00000005379	0.116550683
-0.019826979	0.093579675	0.453862934	ENSG00000005436	0.076230289
-0.113350219	0.021456718	0.108610774	ENSG00000005448	0.054654777
-0.068903422	-0.165092836	0.207347332	ENSG00000005469	0.100669222
-0.236534518	-0.185005374	0.05720598	ENSG00000005471	0.125140315
0.05183474	-0.003203718	0.66250811	ENSG00000005483	0.057165366
-0.01692032	0.030351012	0.898582323	ENSG00000005486	0.075403356
-0.112984435	0.08655772	0.132982832	ENSG00000005700	0.071023946
-0.044949701	0.054770805	0.570981749	ENSG00000005801	0.067131879
0.095458309	0.095485775	0.005814423	ENSG00000005810	0.041609429
-0.176519224	-0.163127464	0.008060208	ENSG00000005812	0.076962867
-0.018019699	-0.10750577	0.116040846	ENSG00000005844	0.052299642
0.054873802	0.35798731	0.014281199	ENSG00000005884	0.124064387
-0.034581337	0.116827536	0.409802721	ENSG00000005889	0.091468999
0.068183366	0.100802538	0.180332526	ENSG00000005893	0.065457752
0.028407613	0.107921652	0.303446195	ENSG00000006007	0.07211752
-0.125456959	0.150197188	0.009439074	ENSG00000006015	0.064107853
-0.006231988	0.000108696	0.998157561	ENSG00000006025	0.102790656
-0.11386106	0.092574408	0.410694566	ENSG00000006062	0.110506668
0.112618372	0.087977447	0.489610039	ENSG00000006118	0.119342716
-0.052688639	-0.044775697	0.530944249	ENSG00000006125	0.061169008
0.166714209	0.012287279	0.156855085	ENSG00000006194	0.086790161
0.044833558	0.833443023	2.94E-12	ENSG00000006282	0.112936159
-0.416617721	0.14361797	2.75E-05	ENSG00000006432	0.095889557
-0.04210258	0.003103325	0.803039142	ENSG00000006451	0.063727273
0.074204145	0.154649587	0.406259809	ENSG00000006453	0.127650495
0.019960419	0.106502546	0.369097484	ENSG00000006530	0.076661643
-0.209380164	-0.12899764	0.000233468	ENSG00000006576	0.059596427
0.045109263	-0.207283653	0.026934513	ENSG00000006607	0.078917196
0.007249482	0.011825459	0.972882861	ENSG00000006625	0.058916151
-0.097122387	-0.147962628	0.017400886	ENSG00000006634	0.061797565
-0.029384319	-0.034137079	0.840636736	ENSG00000006652	0.076213846
-0.226054634	0.040299508	0.246905264	ENSG00000006659	0.137611675
-0.064310648	0.139478349	0.2488233	ENSG00000006695	0.092383119
0.081989295	-0.286364022	0.058848347	ENSG00000006704	0.125433673
0.059845097	0.064723498	0.409830433	ENSG00000006712	0.065718708
-0.048888481	-0.047041828	0.611416952	ENSG00000006715	0.068136394
-0.111597255	0.073104373	0.551208429	ENSG00000006740	0.12281342
0.100192286	0.112855242	0.017833668	ENSG00000006744	0.052770161
-0.156296501	-0.199626869	0.168109713	ENSG00000006756	0.133942143
0.031815833	-0.126929405	0.547099602	ENSG00000006757	0.119545065
0.089117086	0.048690345	0.304927322	ENSG00000006831	0.065629392
0.068379733	0.127755948	0.358274645	ENSG00000007047	0.100941977
0.045842138	-0.168356673	0.052179875	ENSG00000007080	0.071831382
-0.275648972	0.176599387	0.041047258	ENSG00000007129	0.129971937
-0.051052529	-0.004006994	0.596079523	ENSG00000007168	0.050172133
-0.072293632	-0.042290805	0.235948634	ENSG00000007202	0.048956736
-0.043714859	-0.34868554	0.001438478	ENSG00000007237	0.096832508
-0.009588502	-0.131092537	0.184287109	ENSG00000007255	0.071391028
-0.077481779	0.167528176	0.000719039	ENSG00000007312	0.048308107
-0.17161588	-0.185860248	0.123440039	ENSG00000007341	0.12333385
0.101368345	0.033499044	0.343125021	ENSG00000007376	0.07280919
-0.035014908	-0.039380739	0.73170401	ENSG00000007392	0.066415533
0.097211256	-0.030059231	0.714690002	ENSG00000007520	0.124594725
0.033687187	-0.041078377	0.853942727	ENSG00000007541	0.094987325
0.014101996	0.2320231	0.10625478	ENSG00000007545	0.109793525
-0.096261711	-0.123907932	0.388385543	ENSG00000007944	0.113846042
0.10181103	-0.041569712	0.633798019	ENSG00000007952	0.115602973
-0.205074086	0.061878321	0.142817651	ENSG00000007968	0.108833089
-0.015029668	-0.00527471	0.866394095	ENSG00000008018	0.029308056
0.194471305	0.259945243	0.002161481	ENSG00000008083	0.09214119
0.20519257	-0.175685758	0.124056917	ENSG00000008086	0.132787775
-0.008434674	-0.179000379	0.045753103	ENSG00000008130	0.072027638
-0.232797656	0.275247874	0.006580019	ENSG00000008256	0.113996276
-0.068638073	0.013993526	0.821861682	ENSG00000008277	0.11215553
-0.01621034	-0.069262655	0.58315104	ENSG00000008282	0.068375953
0.397058415	0.032213359	0.007351851	ENSG00000008283	0.126884106
0.024194515	-0.092376577	0.471744582	ENSG00000008294	0.078064137
-0.073880772	-0.026914997	0.270597364	ENSG00000008324	0.048344461
-0.034788397	-0.097207384	0.590322714	ENSG00000008382	0.100467904
