"V5"	"id"	"sig"	"V4"	"V1"	"V2"	"V3"	"med_fst"	"outlier"	"sig2"
"1-Mar"	5454	8	"ENSG00000145416"	"chr4"	163524298	164384050	0.118171741444444	0	1
"1-Sep"	8375	0	"ENSG00000180096"	"chr16"	30378133	30395991	0.145196452727273	0	0
"10-Sep"	8870	12	"ENSG00000186522"	"chr2"	109542982	109614206	0.0942611825925926	0	1
"11-Sep"	4890	8	"ENSG00000138758"	"chr4"	76949703	77040384	0.0674841832068966	0	1
"2-Mar"	3111	12	"ENSG00000117791"	"chr1"	220748225	220784815	0.18516114388	0	1
"2-Mar"	1401	0	"ENSG00000099785"	"chr19"	8413270	8439017	0.18516114388	0	0
"2-Sep"	7364	8	"ENSG00000168385"	"chr2"	241315100	241354027	0.086313521456	0	1
"3-Mar"	7936	0	"ENSG00000173926"	"chr5"	126867714	127030808	0.167513513	0	0
"5-Mar"	9334	12	"ENSG00000198060"	"chr10"	92291163	92353964	0.182446705384615	0	1
"6-Mar"	5459	12	"ENSG00000145495"	"chr5"	10353703	10440388	0.129161790714286	0	1
"7-Mar"	4613	8	"ENSG00000136536"	"chr2"	159712457	159771027	0.10037732464	0	1
"7-Sep"	3428	12	"ENSG00000122545"	"chr7"	35800932	35907105	0.0732073243	0	1
"8-Mar"	6970	0	"ENSG00000165406"	"chr10"	45454585	45594906	0.0365118824444444	0	0
"8-Sep"	6855	12	"ENSG00000164402"	"chr5"	132750817	132807241	0.0970127082368421	0	1
"9-Mar"	4931	12	"ENSG00000139266"	"chr12"	57755098	57760407	0.168253236363636	0	1
"9-Sep"	8691	10	"ENSG00000184640"	"chr17"	77280569	77500596	0.0882181588	0	1
"A4GALT"	3849	12	"ENSG00000128274"	"chr22"	42692121	42721298	0.103655775413793	0	1
"AAAS"	1343	0	"ENSG00000094914"	"chr12"	53307456	53324864	0.214673969285714	0	0
"AACS"	1024	10	"ENSG00000081760"	"chr12"	125065379	125143333	0.0890064993103448	0	1
"AAED1"	6239	8	"ENSG00000158122"	"chr9"	96639577	96655303	0.26485125	1	1
"AAGAB"	1884	0	"ENSG00000103591"	"chr15"	67201033	67255195	0.08418216	0	0
"AAK1"	2942	12	"ENSG00000115977"	"chr2"	69457997	69674349	0.0911884454545454	0	1
"AAMDC"	1175	0	"ENSG00000087884"	"chr11"	77821109	77918432	0.093412585	0	0
"AAMP"	3817	0	"ENSG00000127837"	"chr2"	218264123	218270257	0.161063761538462	0	0
"AAR2"	4060	12	"ENSG00000131043"	"chr20"	36236459	36270918	0.09162716	0	1
"AARS"	1275	11	"ENSG00000090861"	"chr16"	70252295	70289543	0.237863985	0	1
"AARS2"	3587	0	"ENSG00000124608"	"chr6"	44299654	44313326	0.0455641595	0	0
"AARSD1"	10076	0	"ENSG00000266967"	"chr17"	42950526	42964498	0.206595725789474	0	0
"AASDH"	6194	0	"ENSG00000157426"	"chr4"	56338287	56387508	0.045701242972973	0	0
"AASDHPPT"	5727	0	"ENSG00000149313"	"chr11"	106075501	106098710	0.0946739872727273	0	0
"AATF"	10124	0	"ENSG00000275700"	"chr17"	36948875	37056871	0.201045285714286	0	0
"ABAT"	8573	0	"ENSG00000183044"	"chr16"	8674565	8784575	0.0787205361538462	0	0
